uuid,name,legal_name,category,subcategory,address,city,state,zip,latitude,longitude,revenue_min,revenue_max,employee_count_min,employee_count_max,website,facebook_followers,instagram_followers,google_rating,google_review_count,yelp_rating,yelp_review_count,overall_rating,total_reviews,engagement_score,engagement_tier,co_fit_score,pain_point_count,estimated_deal_size,win_probability,sales_cycle_days,chamber_member,chamber_role,primary_contact_name,primary_contact_email,primary_contact_phone,data_confidence,last_updated
a7d7d7321607acf8f4e0559666e6e6ea,Luca Osteria,Luca Osteria LLC,restaurant,italian_fine_dining,Giralda Plaza,Coral Gables,FL,33134,25.7645,-80.18900000000001,1312500,2437500,23,28,https://www.lucaosteria.com,2500,3200,4.5,342,4.3,189,4.43,629,77,tier_2_high,50.0,0,43143,0.4,45,True,member,Chef Giorgio Rapicavoli,chef.giorgio.rapicavoli@lucaosteria.com,(305) 555-0100,0.75,2025-11-26T17:04:13.924951
34a652c78c8a49eb8ff07b5784d6606e,Dojo Izakaya,Dojo Izakaya LLC,restaurant,japanese_izakaya,Giralda Plaza,Coral Gables,FL,33134,25.765600000000003,-80.1879,1050000,1950000,18,23,https://www.dojoizakaya.com,2500,3200,4.5,342,4.3,189,4.43,629,73,tier_2_high,50.0,0,33735,0.39,45,True,member,Chef Pablo Zitzmann,chef.pablo.zitzmann@dojoizakaya.com,(305) 555-0100,0.75,2025-11-26T17:04:13.925183
a19f098c4634a14303007d97da935b52,Zitz Sum,Zitz Sum LLC,restaurant,dim_sum_fusion,Giralda Plaza,Coral Gables,FL,33134,25.764300000000002,-80.1892,944999,1755000,16,21,https://www.zitzsum.com,2500,3200,4.5,342,4.3,189,4.43,629,73,tier_2_high,50.0,0,30361,0.39,45,True,member,Chef Pablo Zitzmann,chef.pablo.zitzmann@zitzsum.com,(305) 555-0100,0.75,2025-11-26T17:04:13.925323
faf60d88a30c120ebfbd746cc0cb067f,The Plump Room,The Plump Room Medical Spa LLC,spa,medical_aesthetics,147 Alhambra Circle Suite 205,Coral Gables,FL,33134,25.768,-80.1855,714000,1326000,10,15,https://www.theplumproom.com,2500,3200,4.5,342,4.3,189,4.43,629,65,tier_3_medium,50.0,0,21879,0.37,60,True,member,Dr. Sarah Chen,dr..sarah.chen@theplumproom.com,(305) 555-0100,0.75,2025-11-26T17:04:13.925429
6e695fb2692a418c2fc1aaf8398214c4,Pecans Day Spa,Pecans Day Spa Inc,spa,day_spa,2800 Ponce de Leon Blvd,Coral Gables,FL,33134,25.762800000000002,-80.1907,892500,1657500,13,18,https://www.pecansdayspa.com,2500,3200,4.5,342,4.3,189,4.43,629,65,tier_3_medium,50.0,0,27348,0.37,60,True,member,Maria Pecan,maria.pecan@pecansdayspa.com,(305) 555-0100,0.75,2025-11-26T17:04:13.925510
fe6c1556e1d3c9e8c48715b172cf8027,Grazianos,Grazianos Restaurant Corp,restaurant,argentinian_steakhouse,394 Giralda Ave,Coral Gables,FL,33134,25.7652,-80.1883,1837499,3412500,33,38,https://www.grazianos.com,2500,3200,4.5,342,4.3,189,4.43,629,77,tier_2_high,50.0,0,60401,0.4,45,True,member,Graziano Family,graziano.family@grazianos.com,(305) 555-0100,0.75,2025-11-26T17:04:13.925611
db76b8f6af63e6541af8a9f201411cd4,S Salon & Spa,S Salon and Spa LLC,salon,full_service,4100 Salzedo St,Coral Gables,FL,33134,25.7709,-80.1826,819000,1521000,16,21,https://www.ssalonspa.com,2500,3200,4.5,342,4.3,189,4.43,531,68,tier_3_medium,50.0,0,25552,0.38,60,True,member,JC & Esther,jc.&.esther@ssalon&spa.com,(305) 555-0100,0.75,2025-11-26T17:04:13.925756
b90ad8c4728a6e91d0bcf426577ba161,"Barakat Law, P.A.",Barakat Law Professional Association,professional_services,business_litigation,2222 Ponce de Leon Blvd Suite 300,Coral Gables,FL,33134,25.7685,-80.185,1260000,2340000,10,15,https://www.barakatlaw.com,2500,3200,4.5,342,4.3,189,4.43,531,80,tier_2_high,50.0,0,42120,0.41,45,True,chair,Attorney Barakat,"attorney.barakat@barakatlaw,p.a..com",(305) 555-0100,0.75,2025-11-26T17:04:13.925860
9dc57116e67c8f991a77ad6db4079741,EWM Realty International,EWM Realty International Corp,professional_services,luxury_real_estate,255 Alhambra Circle,Coral Gables,FL,33134,25.7696,-80.1839,8925000,16575000,83,88,https://www.ewm.com,2500,3200,4.5,342,4.3,189,4.43,531,78,tier_2_high,50.0,0,295035,0.4,45,True,board,Ron Shuffield,ron.shuffield@ewmrealtyinternational.com,(305) 555-0100,0.75,2025-11-26T17:04:13.925966
fee530398a77b9d720a0787b3b45e71c,Books & Books,Books and Books Inc,retail,bookstore_cafe,265 Aragon Ave,Coral Gables,FL,33134,25.7681,-80.1854,3528000,6552000,26,31,https://www.booksandbooks.com,2500,3200,4.5,342,4.3,189,4.43,531,72,tier_2_high,50.0,0,112694,0.39,45,True,member,Mitchell Kaplan,mitchell.kaplan@books&books.com,(305) 555-0100,0.75,2025-11-26T17:04:13.926048
