business_id,business_name,phone,website,address,neighborhood_area,category_primary,rating_primary_value,chamber_member,website_verified
son,& son,,https://shopandson.com/,,Coral Gables,retail,5.0,N,verified
canes_central,'Canes Central,(305) 284-4247,https://canescentral.miami.edu/,1307 Stanford Drive,University of Miami Area,professional_services,2.8,N,verified
100_montaditos_coral_gables,100 Montaditos Coral Gables,(786) 449-5203,https://us.100montaditos.com/,"327 Alhambra Cir, Coral Gables, FL 33134",Coral Gables,food_beverage,4.2,Y,verified
107tasteasianrestaurantcoralgables,107 Taste Asian Restaurant Coral Gables,(786) 409-6951,http://107taste.com/,,Alhambra Circle,food_beverage,4.9,N,verified
107tasteasianrestaurantsouthmiami,107 Taste Asian Restaurant South Miami,(786) 641-5122,https://107taste.com/,,Sunset / South Gables,food_beverage,4.9,N,verified
1111mediagroupwebsitescontentsocialseoid,1111 Media Group | Websites - Content - Social - SEO - Paid,(305) 351-3103,https://1111mediagroup.com/miami,,Douglas Road Corridor,marketing,4.9,N,verified
17realestatebrokers,17 Real Estate Brokers,(786) 693-3910,,,Ponce de Leon Corridor,real_estate,4.3,N,
19th_hole_sports_bar__grill,19th Hole Sports Bar & Grill,,,"13610 Deering Bay Dr, Coral Gables, FL 33158",Bird Road Corridor,food_beverage,5,N,
247_nursing_care_inc,24/7 Nursing Care Inc.,(786) 518-3622,https://www.24-7nursingcare.com/,"9425 Sunset Dr #170, Miami, FL 33173",Coral Gables,healthcare,4.4,Y,verified
2555poncedeleon,2555 Ponce De Leon,(305) 444-8900,,,Miracle Mile,other,4.8,N,
3_chefs_and_a_chicken,3 Chefs and a Chicken,(786) 953-4811,https://3chefsandachicken.com/3chefsandachicken-xso1yr?utm_source=google,6601 Southwest 57th Avenue,Sunset / South Gables,food_beverage,4.3,N,verified
300engineeringgroup,"300 Engineering Group, P.A.",(305) 763-9829,http://300engineering.com/,,Ponce de Leon Corridor,professional_services,5.0,N,verified
305_drive_inc_limousine_service,"305 Drive Inc., Limousine Service",(305) 310-9357,http://www.305-drive.com/,"1100 S Miami Ave, Miami, FL 33130",Coral Gables,accounting,4.9,Y,verified
305_hive_media,305 Hive(R) Media,(305) 907-7071,https://305hive.com,,Coral Gables,marketing,,Y,unverified
305_peruvian_modern_cuisine,305 Peruvian Modern Cuisine,(786) 409-7144,https://305peruvian.com/?utm_source=google,"261 SW 8th St, Miami, FL 33130, United States",Coral Gables,food_beverage,4.8,N,verified
305_pink_pack,305 Pink Pack,(305) 859-1224,https://www.305pinkpack.org/,,Coral Gables,nonprofit,5,Y,verified
305_senior,305 Senior,(786) 326-0656,https://305senior.com/,"1 Andalusia Ave, Coral Gables, FL 33134",Coral Gables,accounting,4.9,Y,verified
3fmconsulting,3FM CONSULTING,(305) 767-1120,http://www.3fmengineering.com/,,Ponce de Leon Corridor,professional_services,4.1,N,verified
4000_ponce_llc_cmc_group,"4000 Ponce, LLC (CMC Group)",(305) 372-0550,http://cmcgroupmiami.com/,"1550 Biscayne Blvd #300, Miami, FL 33132",ponce de leon corridor,accounting,3,Y,verified
450_gradi,450 Gradi,(786) 391-1276,https://450gradimiami.com/,"130 Miracle Mile, Coral Gables, FL 33134",Coral Gables,food_beverage,4.8,Y,verified
450gradimiamiitalianrestaurant,450Gradi Miami Italian Restaurant,,https://450gradimiami.com/,,Coral Gables,food_beverage,4.9,N,verified
450gradimiami,450Gradi Miami 🇺🇸,(786) 391-1276,https://450gradimiami.com/,,Miracle Mile,food_beverage,4.8,N,verified
4kids_of_south_florida,4KIDS of South Florida,(305) 951-1779,https://www.4kids.us/,"2717 W Cypress Creek Rd, Fort Lauderdale, FL 33309",Coral Gables,nonprofit,4.8,Y,verified
4mg_mortgage_llc,"4MG Mortgage, LLC",(305) 762-0314,http://4mgmortgage.com/,"1501 Venera Ave #230, Miami, FL 33146",Coral Gables,real_estate,5,Y,verified
54dcoralgables,54D Coral Gables,(786) 817-7008,https://cg.54d.com/,,Bird Road Corridor,wellness,4.6,N,verified
54dsteelcoralgables,54D STEEL Coral Gables,(786) 817-7008,https://54d.com/,,Bird Road Corridor,wellness,5.0,N,verified
7eleven,7-Eleven,(305) 443-0500,https://www.7-eleven.com/locations/fl/coral-gables/3960-sw-8th-street-10535?utm_source=G&utm_medium=local&utm_campaign=google-local,350 Southwest 40th Street,Bird Road Corridor,retail,3.3,N,verified
924_bird_rd_coral_gable,924 bird rd coral gable,,,"Coral Gables, FL 33146",Bird Road Corridor,real_estate,,N,
aautotech,A Auto Tech Inc,(305) 448-4100,http://www.aautotech.com/,,Bird Road Corridor,auto_dealer,4.8,N,verified
agcfirmcoralgablesfl,"A&G - CPA Firm Coral Gables, FL",(786) 838-7062,http://www.agcpafirm.com/,,Coral Gables,accounting,4.9,N,verified
agcfirm,A&G CPA Firm,(786) 838-7062,http://www.agcpafirm.com/,,Coral Gables,accounting,4.9,N,verified
a1undergroundplumbingservices,A1 Underground & Plumbing Services,(954) 872-0018,https://undergroundplumbers.com/,,Coral Gables,construction,4.8,N,verified
a4_graphic_design,A4 Graphic Design,(786) 397-8359,http://www.a4graphic.com/,"3362 Coral Wy, Miami, FL 33145",Coral Gables,construction,4.9,N,verified
aaa_insurance,AAA Insurance,(305) 270-6450,https://locator.acg.aaa.com/fl/miami/aaa-kendall,6643 South Dixie Highway,Sunset / South Gables,insurance,4.2,N,verified
aaa_million_auto_parts,AAA Million Auto Parts,(305) 642-5821,http://www.aaamillion.com/,311 Southwest 22nd Avenue,Coral Gables,auto_dealer,4.5,N,verified
aapmiami,AAP Miami,(305) 902-1651,http://www.aapmiami.com/,,Miracle Mile,retail,5.0,N,verified
abadindental,Abadin Dental,(305) 783-3750,https://www.abadindental.com/,,Coral Gables,healthcare,5.0,N,verified
abadindentalinvisalignveneersimplants,Abadin Dental - Invisalign Veneers Implants,(305) 783-3750,https://www.abadindental.com/,,Coral Gables,healthcare,5.0,N,verified
abascalgroupresidentialcommercialconstruction,"Abascal Group, Inc. Residential + Commercial Construction",(305) 498-5035,https://abascalgroup.com/,,Bird Road Corridor,construction,5.0,N,verified
abco_mortgage,ABCO Mortgage,(305) 784-7000,https://www.abcomortgage.com/,,Coral Gables,real_estate,,Y,verified
abitosaccountantsadvisors,AbitOs Accountants + Advisors,(305) 774-2945,https://www.abitos.com/,,Miracle Mile,accounting,3.9,N,verified
