business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,cuisine_type,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,pkp_node_type,pkp_edges_summary,pkp_picks_shovels,pkp_undercurrents,chamber_member,source,batch_id,last_reviewed
cherrybekaert,"Cherry Bekaert, LLP",Ms. Arlene Labrador,(786) 693-6300,cbh.com,,,,,Coral Gables,accounting,Accounting & Tax Services,,$$$,4.0,Google/Yelp (A1),,Professional expertise,Most toxic work environment documented,0.90,High,Y,Warning,Workplace toxicity = talent drain,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
zommagroup,"ZOMMA Group, LLP","Mr. Raymond Zomerfeld, CPA",(305) 444-8288,zommagroup.com,,,,,Coral Gables,accounting,Accounting & Consulting,,$$$,,,,Community-focused + UM network,Limited data,0.75,High,N,,,asset_node,sector:accounting; network:CGCC,QuickBooks/Xero; tax prep; client portals,Market competition; digital transformation,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
blackmoreconsulting,Blackmore Consulting,Mrs. Yvethe Blackmore,(786) 417-9868,,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,,$$$,,,,15+ years corporate experience,$2M+ focus limits market,0.75,High,N,,,picks_shovels_node,sector:consulting; network:CGCC,CRM; project mgmt; LinkedIn; content,AI disruption; project volatility; relationship dependency,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
counderscore,Co Underscore,Mr. Dietrich Zeledon,(888) 835-5507,counderscore.com,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,,$$$,,,,PKP methodology + Chamber active,Minimal online visibility,0.90,High,N,,,asset_node,sector:consulting; network:CGCC,CRM; project mgmt; LinkedIn; content,AI disruption; project volatility; relationship dependency,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
myxcellnetwork,My Xcell Network,"Mr. Luis ""Luigi"" Gonzalez, Jr.",(305) 704-0521,myxcell.net,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,,$$$,,,,Bilingual support + 11-year history,Ã°Å¸Å¡Â¨ Name association with job scams,0.75,High,Y,Warning,Reputation damage = critical issue,asset_node,sector:consulting; network:CGCC,CRM; project mgmt; LinkedIn; content,AI disruption; project volatility; relationship dependency,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
nexusconsultancy,Nexus Consultancy,Mr. Camilo Osuna,(786) 642-1803,,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,,$$$,Unknown,Google/Yelp (A1),,Unknown,No online presence,0.75,High,N,,,picks_shovels_node,sector:consulting; network:CGCC,CRM; project mgmt; LinkedIn; content,AI disruption; project volatility; relationship dependency,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
stellarsynergy,Stellar Synergy,Ms. Barbara Expositoâ€‘Fernandez,(305) 467-7552,,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,,$$$,,,,Proven: $2.4MÃ¢â€ â€™$9M in 1 year,Limited online reviews,0.75,High,N,,,asset_node,sector:consulting; network:CGCC,CRM; project mgmt; LinkedIn; content,AI disruption; project volatility; relationship dependency,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
thewinwoman,The Win Woman,Ms. Yanyn San Luis,(305) 697-6147,thewinwoman.com,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,,$$$,,,,Unknown,No website,0.75,High,N,,,asset_node,sector:consulting; network:CGCC,CRM; project mgmt; LinkedIn; content,AI disruption; project volatility; relationship dependency,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
bullagastrobar,Bulla Gastrobar,Ms. Alis Mosquera,(786) 810-6215,bullagastrobar.com/locations/coralâ€‘gables,2500 Ponce de Leon Boulevard,25.7485138,-80.258912,33134,Miracle Mile,food_beverage,Restaurants,"Spanish, Gastropub",$$,4.5,Google/Yelp (A1),730,"Ernesto effect, personalized service",Inventory gaps + noise issues,0.90,High,N,,,asset_node,sector:food_beverage; network:CGCC; geo:Miracle Mile,POS; reservation; inventory; social; delivery,Rent pressure; labor inflation; delivery apps; franchise standardization,Y,CGCC+OSM+TA+A1,CG-OSINT-20260212-v4.0,2026-02-12
cviche105,CVI.CHE 105,Ms. Carla Ramon,(786) 527-3939,ceviche105.com,,,,,Coral Gables,food_beverage,Restaurants,"Peruvian, Latin",$$,4.5,Google/Yelp (A1),540,High-end ceviche preparation,Review manipulation + staff coercion,0.75,High,Y,Warning,Fake reviews + forced feedback = trust killer,asset_node,sector:food_beverage; network:CGCC,POS; reservation; inventory; social; delivery,Rent pressure; labor inflation; delivery apps; franchise standardization,Y,CGCC+TA+A1,CG-OSINT-20260212-v4.0,2026-02-12
johnmartins,JohnMartin's,Mr. Tony Guerra,(305) 209-0609,johnmartinsmiami.com,,,,,Coral Gables,food_beverage,Restaurants,,$$,4.0,Google/Yelp (A1),,Sports bar energy,Music/vibe mismatch post-renovation,0.75,High,N,,,asset_node,sector:food_beverage; network:CGCC,POS; reservation; inventory; social; delivery,Rent pressure; labor inflation; delivery apps; franchise standardization,Y,CGCC+A1,CG-OSINT-20260212-v4.0,2026-02-12
