business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,rating_secondary_value,rating_secondary_source,top_delights,top_pain_points,osint_confidence,validation_tier,validation_confidence,red_flag_present,red_flag_severity,red_flag_category,red_flag_notes,pkp_node_type,pkp_edges_summary,pkp_picks_shovels_summary,pkp_undercurrents_summary,pkp_key_signals,pkp_primary_risks,pkp_primary_actions,chamber_member,source,batch_id,last_reviewed_date
cherry_bekaert_llp,"Cherry Bekaert, LLP",Ms. Arlene Labrador,(786) 693-6300,cbh.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,4.0,Google,,,,Professional expertise,Most toxic work environment documented,0.90,High,0.9,Y,Critical,Workplace,Systematic workplace toxicity,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
zomma_group_llp,"ZOMMA Group, LLP","Mr. Raymond Zomerfeld, CPA",(305) 444-8288,zommagroup.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,,,Community-focused + UM network,Limited data,0.75,High,0.75,N,,,,asset_node,sector:accounting; network:CGCC_ecosystem,QuickBooks/Xero; tax prep; audit platforms; client portals,Automation of bookkeeping; regulatory complexity increase; talent shortage,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
att,AT&T,Ms. Thais Asper Keane,(305) 347-5454,att.com,2720 South Dixie Highway,25.7389161,-80.239623,33133,Douglas Road Corridor,consulting,Telephone Communication/Equipment/Consultants,$$$,4.1,Yelp/Booking,,,,,,0.55,High,0.9,Y,Warning,Operational,Cleanliness issues,infrastructure_node,geo:Douglas Road Corridor; sector:consulting; network:CGCC_ecosystem,CRM; project mgmt; LinkedIn; content marketing; referral network,AI disruption; project-based revenue volatility; relationship-dependent revenue,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+OSM,CG-OSINT-20260211-v2.0,2026-02-11
blackmore_consulting,Blackmore Consulting,Mrs. Yvethe Blackmore,(786) 417-9868,,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,$$$,,,,,,15+ years corporate experience,$2M+ focus limits market,0.75,High,0.75,N,,,,picks_shovels_node,sector:consulting; network:CGCC_ecosystem,CRM; project mgmt; LinkedIn; content marketing; referral network,AI disruption; project-based revenue volatility; relationship-dependent revenue,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
co_underscore,Co Underscore,Mr. Dietrich Zeledon,(888) 835-5507,counderscore.com,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,$$$,,,,,,PKP methodology + Chamber active,Minimal online visibility,0.90,High,0.90,N,,,,asset_node,sector:consulting; network:CGCC_ecosystem,CRM; project mgmt; LinkedIn; content marketing; referral network,AI disruption; project-based revenue volatility; relationship-dependent revenue,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
nexus_consultancy,Nexus Consultancy,Mr. Camilo Osuna,(786) 642-1803,,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,$$$,Unknown,Google/Yelp (Agent 1 OSINT),,,,Unknown,No online presence,0.75,High,0.75,N,,,,picks_shovels_node,sector:consulting; network:CGCC_ecosystem,CRM; project mgmt; LinkedIn; content marketing; referral network,AI disruption; project-based revenue volatility; relationship-dependent revenue,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
stellar_synergy,Stellar Synergy,Ms. Barbara Expositoâ€‘Fernandez,(305) 467-7552,,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,$$$,,,,,,Proven: $2.4MÃ¢â€ â€™$9M in 1 year,Limited online reviews,0.75,High,0.75,N,,,,asset_node,sector:consulting; network:CGCC_ecosystem,CRM; project mgmt; LinkedIn; content marketing; referral network,AI disruption; project-based revenue volatility; relationship-dependent revenue,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
the_win_woman,The Win Woman,Ms. Yanyn San Luis,(305) 697-6147,thewinwoman.com,,,,,Coral Gables,consulting,Consultants â€‘ Business / Professional Services,$$$,,,,,,Unknown,No website,0.75,High,0.75,N,,,,asset_node,sector:consulting; network:CGCC_ecosystem,CRM; project mgmt; LinkedIn; content marketing; referral network,AI disruption; project-based revenue volatility; relationship-dependent revenue,customer_satisfaction; revenue_trend; digital_presence; community_engagement,Market competition; key-person risk; cost pressure; technology disruption,Chamber engagement; digital presence audit; competitive benchmarking,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
bulla_gastrobar,Bulla Gastrobar,Ms. Alis Mosquera,(786) 810-6215,bullagastrobar.com/locations/coralâ€‘gables,2500 Ponce de Leon Boulevard,25.7485138,-80.258912,33134,Miracle Mile,food_beverage,Restaurants â€‘ Spanish Cuisine & Tapas,$$,4.5,Yelp/OpenTable/Google,,,,"Ernesto effect, personalized service",Inventory gaps + noise issues,0.90,High,0.95,N,,,,asset_node,geo:Miracle Mile; sector:food_beverage; network:CGCC_ecosystem,POS; reservation platforms; inventory mgmt; social media; delivery apps,Commercial rent pressure; franchise standardization; labor cost inflation; digital-first ordering,avg_rating_trend; review_velocity; reservation_fill_rate; CSI,Lease renewal risk; labor retention; health code compliance; review volatility,Chamber engagement for co-marketing; sentiment monitoring; reservation optimization,Y,CGCC+OSM+A1,CG-OSINT-20260211-v2.0,2026-02-11
cviche_105,CVI.CHE 105,Ms. Carla Ramon,(786) 527-3939,ceviche105.com,,,,,Coral Gables,food_beverage,Restaurants â€‘ Peruvian,$$,4.5,Google (Manipulated),17000+,,,High-end ceviche preparation,Review manipulation + staff coercion,0.75,High,0.9,Y,Critical,Ethics,Review manipulation + staff coercion,asset_node,sector:food_beverage; network:CGCC_ecosystem,POS; reservation platforms; inventory mgmt; social media; delivery apps,Commercial rent pressure; franchise standardization; labor cost inflation; digital-first ordering,avg_rating_trend; review_velocity; reservation_fill_rate; CSI,Lease renewal risk; labor retention; health code compliance; review volatility,Chamber engagement for co-marketing; sentiment monitoring; reservation optimization,Y,CGCC+A1,CG-OSINT-20260211-v2.0,2026-02-11
