business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date
cherrybekaert,"Cherry Bekaert, LLP",Ms. Arlene Labrador,(786) 693-6300,cbh.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,4.0,Google/Yelp (Agent 1),,Professional expertise,Most toxic work environment documented,0.90,High,Y,Warning,Workplace toxicity = talent drain,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
zommagroup,"ZOMMA Group, LLP","Mr. Raymond Zomerfeld, CPA",(305) 444-8288,zommagroup.com,,,,,Coral Gables,accounting,Accounting & Tax Services,$$$,,,,Community-focused + UM network,Limited data,0.75,High,N,,,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
blackmorensulting,Blackmore Consulting,Mrs. Yvethe Blackmore,(786) 417-9868,,,,,,Coral Gables,consulting,Consultants  Business / Professional Services,$$$,,,,15+ years corporate experience,$2M+ focus limits market,0.75,High,N,,,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
undersre,Co Underscore,Mr. Dietrich Zeledon,(888) 835-5507,counderscore.com,,,,,Coral Gables,consulting,Consultants  Business / Professional Services,$$$,,,,PKP methodology + Chamber active,Minimal online visibility,0.90,High,N,,,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
myxcellnetwork,My Xcell Network,"Mr. Luis ""Luigi"" Gonzalez, Jr.",(305) 704-0521,myxcell.net,,,,,Coral Gables,consulting,Consultants  Business / Professional Services,$$$,,,,Bilingual support + 11-year history,oYs Name association with job scams,0.75,High,Y,Warning,Reputation damage = critical issue,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
nexusnsultancy,Nexus Consultancy,Mr. Camilo Osuna,(786) 642-1803,,,,,,Coral Gables,consulting,Consultants  Business / Professional Services,$$$,Unknown,Google/Yelp (Agent 1),,Unknown,No online presence,0.75,High,N,,,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
stellarsynergy,Stellar Synergy,Ms. Barbara ExpositoFernandez,(305) 467-7552,,,,,,Coral Gables,consulting,Consultants  Business / Professional Services,$$$,,,,Proven: $2.4Ma $9M in 1 year,Limited online reviews,0.75,High,N,,,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
thewinwoman,The Win Woman,Ms. Yanyn San Luis,(305) 697-6147,thewinwoman.com,,,,,Coral Gables,consulting,Consultants  Business / Professional Services,$$$,,,,Unknown,No website,0.75,High,N,,,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
bullagastrobar,Bulla Gastrobar,Ms. Alis Mosquera,(786) 810-6215,bullagastrobar.com/locations/coralgables,2500 Ponce de Leon Boulevard,25.7485138,-80.258912,33134,Miracle Mile,food_beverage,Restaurants  Spanish Cuisine & Tapas,$$,4.5,Google/Yelp (Agent 1),,"Ernesto effect, personalized service",Inventory gaps + noise issues,0.90,High,N,,,Y,CGCC+OSM+A1,CG-OSINT-20260211-v3.0,2026-02-11
cviche105,CVI.CHE 105,Ms. Carla Ramon,(786) 527-3939,ceviche105.com,,,,,Coral Gables,food_beverage,Restaurants  Peruvian,$$,4.5,Google/Yelp (Agent 1),,High-end ceviche preparation,Review manipulation + staff coercion,0.75,High,Y,Warning,Fake reviews + forced feedback = trust killer,Y,CGCC+A1,CG-OSINT-20260211-v3.0,2026-02-11
