business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date
petertmavricklaw,Peter T. Mavrick Law,,(305) 570-4042,,"Coral Gables, FL",,,,,legal,business law,,,Web,,,,,,,,,N,non-cgcc-run2,,
johntrickmuscalaw,John Patrick Musca Law,,(305) 203-0333,,"Coral Gables, FL",,,,,legal,criminal defense,,,Web,,,,,,,,,N,non-cgcc-run2,,
lawofficeofdiaznunezelorza,Law Office of Diaz & Nunez Elorza PA,,(305) 521-3299,,"Coral Gables, FL",,,,,legal,immigration,,,Web,,,,,,,,,N,non-cgcc-run2,,
lawofficesofrodrigosdasilva,Law Offices of Rodrigo S. Da Silva PA,,(305) 615-1434,,"Miami, FL - Serving Coral Gables",,,,,legal,immigration,,,Web,,,,,,,,,N,non-cgcc-run2,,
kurzbankurzbantetzelipratt,Kurzban Kurzban Tetzeli & Pratt PA,,(305) 744-5888,,"Coral Gables, FL",,,,,legal,immigration,,,Web,,,,,,,,,N,non-cgcc-run2,,
yablenvaliente,Yablen Valiente,,(305) 476-5444,,"Coral Gables, FL",,,,,legal,family law,,,Web,,,,,,,,,N,non-cgcc-run2,,
peaklegal,Peak Legal,,(305) 697-1375,,"Miami, FL - Serving Coral Gables",,,,,legal,family law,,,Web,,,,,,,,,N,non-cgcc-run2,,
mandellawgroup,Mandel Law Group PA,,(786) 785-2579,,Throughout Florida,,,,,legal,family law,,,Web,,,,,,,,,N,non-cgcc-run2,,
lawofficesoflawrenceskatz,Law Offices of Lawrence S. Katz PA,,(305) 670-8656,,"Miami, FL - Serving Coral Gables",,,,,legal,family law,,,Web,,,,,,,,,N,non-cgcc-run2,,
melaiperry,Pamela I. Perry PA,,(305) 202-3545,,"Coral Gables, FL",,,,,legal,family law,,,Web,,,,,,,,,N,non-cgcc-run2,,
davidswilligchartered,David S. Willig Chartered,,(305) 990-0562,,"Miami, FL - Serving Coral Gables",,,,,legal,patents,,,Web,,,,,,,,,N,non-cgcc-run2,,
borgognonilawpl,Borgognoni Law PL,,(305) 981-6707,,"Coral Gables, FL",,,,,legal,patents,,,Web,,,,,,,,,N,non-cgcc-run2,,
bellrosquetereyesestebanp,Bell Rosquete Reyes Esteban PLLC,,(305) 570-1610,,"Coral Gables, FL",,,,,legal,patents & trademarks,,,Web,,,,,,,,,N,non-cgcc-run2,,
wolfelawmiami,Wolfe Law Miami,,(888) 655-4709,,"Miami, FL - Serving Coral Gables",,,,,legal,patents,,,Web,,,,,,,,,N,non-cgcc-run2,,
pulverc,Pulver CPA,,,pulvercpa.com,"Coral Gables, FL",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run2,,
egomezc,E. Gomez CPA LLC,,,,"Coral Gables, FL",,,,,accounting,construction/wholesaling,,,Web,,,,,,,,,N,non-cgcc-run2,,
delahozperezbarbeitop,"De La Hoz, Perez & Barbeito, PLLC",,(305) 448-7590,dpbcpa.com,"2800 Ponce de Leon Suite 1020, Coral Gables, FL 33134",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run2,,
verdejaalvarez,"Verdeja & Alvarez, LLP",,(305) 446-3177,va-cpa.com,"Coral Gables, FL 33134",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run2,,
gemrtcs,GEMRT CPAs,,,gemrtcpa.com,"Coral Gables, FL",,,,,accounting,,,,Web,,,,,,,,,N,non-cgcc-run2,,
comssrealestatecoralgables,Compass Real Estate Coral Gables,,,compass.com,"Coral Gables, FL",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run2,,
onesothebyscoralgables,One Sotheby's Coral Gables,,(305) 666-0562,onesothebysrealty.com,"1507 Sunset Drive, Coral Gables, FL 33143",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run2,,
coldwellbankercoralgables,Coldwell Banker Coral Gables,,,coldwellbanker.com,"Coral Gables, FL",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run2,,
redforalgables,Redfin Coral Gables,,,redfin.com,"Coral Gables, FL",,,,,real_estate,,,,Web,,,,,,,,,N,non-cgcc-run2,,
fortuninsurance,Fortun Insurance,,(844) 660-2820,,"365 Palermo Ave, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run2,,
weinsurerandymarzullo,We Insure - Randy Marzullo,,(844) 472-2011,,"1550 Madruga Ave Ste 330, Coral Gables, FL 33146",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run2,,
wahlstrominsuranceassociates,Wahlstrom Insurance Associates,,(305) 447-8718,,"1107 Genoa St, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run2,,
groverwinstoninsurancegroup,"Grover Winston Insurance Group, LLC",,(786) 778-3154,,"2655 LeJune Rd, Ste 533, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run2,,
arcoagentinsurance,Arco Agent Insurance Inc,,(305) 582-2845,,"2000 Ponce de Leon Blvd Ste 515, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run2,,
gooseheadinsuranceagency,"Goosehead Insurance Agency, LLC",,(305) 704-8133,,"2222 Ponce de Leon Blvd Ste 300, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run2,,
bmsinsuranceagencyofflorida,BMS Insurance Agency of Florida LLC,,(305) 667-7717,,"299 Alhambra Cir Ste 212, Coral Gables, FL 33134",,,,,insurance,,,,Web,,,,,,,,,N,non-cgcc-run2,,
professionalbuildingsolutions,Professional Building Solutions,,,,"2332 Galiano St, Coral Gables, FL 33134",,,,,construction,general contractor,,,Web,,,,,,,,,N,non-cgcc-run2,,
se200430yearsexperienceoceansideconstructionremodeling,"Since 2004, 30+ years experience Oceanside Construction & Remodeling",,,,"161 Madeira Ave Suite 106, Coral Gables, FL 33134",,,,,construction,design build,,,Web,,,,,,,,,N,non-cgcc-run2,,
rausabuilders,Rausa Builders Corp,,,,"Coral Gables, FL",,,,,construction,general contractor & roofing,,,Web,,,,,,,,,N,non-cgcc-run2,,
fullserviceconstructioncomnyoharalandscapeandmaintenance,Full-service construction company O'Hara Landscape and Maintenance Inc,,,oharalandscape.com,"Coral Gables, FL",,,,,landscaping,residential & commercial,,,Web,,,,,,,,,N,non-cgcc-run2,,
se1973licensedinsuredlandscapingbygeorge,"Since 1973, licensed & insured Landscaping by George",,,landscapingbygeorge-fl.com,"Coral Gables, FL",,,,,landscaping,full-service,,,Web,,,,,,,,,N,non-cgcc-run2,,
se198135yearsexperiencelandscapingbysteveblaum,"Since 1981, 35+ years experience Landscaping by Steve Blaum",,(305) 662-7045,blaumlandscaping.com,"Coral Gables, FL",,,,,landscaping,design & installation,,,Web,,,,,,,,,N,non-cgcc-run2,,
brightviewlandscape,BrightView Landscape,,,brightview.com,"Coral Gables, FL",,,,,landscaping,commercial,,,Web,,,,,,,,,N,non-cgcc-run2,,
greensgarage,Green's Garage,,,greensgaragemiami.com,"2221 SW 32nd Ave, Miami, FL 33145",,,,,automotive,auto repair,,4.6,Web,110,,,,,,,,N,non-cgcc-run2,,
leaderservice,Leader Service,,(305) 858-1020,leaderservicemiami.com,"1700 Coral Way, Miami, FL 33145",,,,,automotive,auto repair,,,Web,,,,,,,,,N,non-cgcc-run2,,
classiccollisioncoralgables,Classic Collision Coral Gables,,(305) 262-6990,classiccollision.com,"2675 SW 69th Court, Miami, FL 33155",,,,,automotive,collision repair,,,Web,,,,,,,,,N,non-cgcc-run2,,
thecollection,THE COLLECTION,,,,"200 Bird Rd, Coral Gables, FL 33146",,,,,automotive,dealership service,,,57,4.8,,,,,,,,N,non-cgcc-run2,,
essenceboutique,Essence Boutique,,(305) 448-6777,,"78 Miracle Mile, Coral Gables, FL 33134",,,,,retail,fashion,,,Web,,,,,,,,,N,non-cgcc-run2,,
shopsatmerrickrk,Shops at Merrick Park,,,shopsatmerrickpark.com,"358 San Lorenzo Ave, Coral Gables, FL 33146",,,,,retail,shopping mall,,,Web,,,,,,,,,N,non-cgcc-run2,,
booksbooks,Books & Books,,,booksandbooks.com,"Coral Gables, FL",,,,,retail,bookstore,,,Web,,,,,,,,,N,non-cgcc-run2,,
mghairstudio,MG Hair Studio,,,mghair.miami,"Coral Gables, FL",,,,,salon,hair color & styling,,,Web,,,,,,,,,N,non-cgcc-run2,,
scagnaitalianhairdesign,Spacagna Italian Hair Design,,,spacagna.com,"Miracle Mile, Coral Gables, FL",,,,,salon,hair services,,,Web,,,,,,,,,N,non-cgcc-run2,,
highlightsaloncoralgables,Highlight Salon Coral Gables,,(305) 448-0707,highlightcoralgables.com,"2100 Ponce De Leon Blvd Suite 111, Coral Gables, FL 33134",,,,,salon,full service,,,Web,,,,,,,,,N,non-cgcc-run2,,
jnathairstudio,J Nat Hair Studio,,,,"1340 S. Dixie Highway, suite 150, #202, Coral Gables, FL 33146",,,,,salon,hair services,,,Web,,,,,,,,,N,non-cgcc-run2,,
oxionebeautyextensions,OXIONE BEAUTY & EXTENSIONS,,,,"1913 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,,salon,hair & extensions,,,Web,,,,,,,,,N,non-cgcc-run2,,
