business_name,category,specialty,address,phone,website,rating,reviews,source,notes
Peter T. Mavrick Law,legal,business law,"Coral Gables, FL",(305) 570-4042,,,,Web,
John Patrick Musca Law,legal,criminal defense,"Coral Gables, FL",(305) 203-0333,,,,Web,
Pulver CPA,accounting,,"Coral Gables, FL",,pulvercpa.com,,,Web,
A&G CPA Firm,accounting,,"Coral Gables, FL",,,,,Web,
E. Gomez CPA LLC,accounting,construction/wholesaling,"Coral Gables, FL",,,,,Web,
"De La Hoz, Perez & Barbeito, PLLC",accounting,,"2800 Ponce de Leon Suite 1020, Coral Gables, FL 33134",(305) 448-7590,dpbcpa.com,,,Web,
"Verdeja & Alvarez, LLP",accounting,,"Coral Gables, FL 33134",(305) 446-3177,va-cpa.com,,,Web,
GEMRT CPAs,accounting,,"Coral Gables, FL",,gemrtcpa.com,,,Web,
Compass Real Estate Coral Gables,real_estate,,"Coral Gables, FL",,compass.com,,,Web,
One Sotheby's Coral Gables,real_estate,,"1507 Sunset Drive, Coral Gables, FL 33143",(305) 666-0562,onesothebysrealty.com,,,Web,
Coldwell Banker Coral Gables,real_estate,,"Coral Gables, FL",,coldwellbanker.com,,,Web,
Redfin Coral Gables,real_estate,,"Coral Gables, FL",,redfin.com,,,Web,
Fortun Insurance,insurance,,"365 Palermo Ave, Coral Gables, FL 33134",(844) 660-2820,,,,Web,
We Insure - Randy Marzullo,insurance,,"1550 Madruga Ave Ste 330, Coral Gables, FL 33146",(844) 472-2011,,,,Web,
Wahlstrom Insurance Associates,insurance,,"1107 Genoa St, Coral Gables, FL 33134",(305) 447-8718,,,,Web,
"Grover Winston Insurance Group, LLC",insurance,,"2655 LeJune Rd, Ste 533, Coral Gables, FL 33134",(786) 778-3154,,,,Web,
Arco Agent Insurance Inc,insurance,,"2000 Ponce de Leon Blvd Ste 515, Coral Gables, FL 33134",(305) 582-2845,,,,Web,
"Goosehead Insurance Agency, LLC",insurance,,"2222 Ponce de Leon Blvd Ste 300, Coral Gables, FL 33134",(305) 704-8133,,,,Web,
BMS Insurance Agency of Florida LLC,insurance,,"299 Alhambra Cir Ste 212, Coral Gables, FL 33134",(305) 667-7717,,,,Web,
Winston Gables Insurance Corp,insurance,,"90 Almeria Ave Ste 203, Coral Gables, FL 33134",(305) 777-1322,,,,Web,
Matson-Charlton Surety Group,insurance,,"700 S Dixie Hwy # 100, Coral Gables, FL 33146",(305) 662-3852,,,,Web,
Brown & Brown RS Insurance Services LLC,insurance,,"2 Alhambra Plz, Coral Gables, FL",(305) 377-8749,,,,Web,
USI Insurance Services LLC,insurance,,"201 Alhambra Cir, Coral Gables, FL",(305) 669-6030,,,,Web,
R A Brandon & Co Inc,insurance,,"217 Aragon Ave, Coral Gables, FL",(305) 442-2340,,,,Web,
One Insurance Services LLC,insurance,,"365 Palermo Ave, Coral Gables, FL",(305) 445-3535,,,,Web,
Allied North America Insurance Brokerage Of FL LLC,insurance,,"550 Biltmore Way, Penthouse 2, Coral Gables, FL",(305) 629-3027,,,,Web,
Alliant Insurance Services Inc,insurance,,"800 S Douglas, Coral Gables, FL",(212) 344-2444,,,,Web,
NSI Insurance,insurance,,"2122 SW 67th Ave, Miami, FL 33155",,nsigroup.org,,,Web,
Borbolla Insurance Agencies Inc,insurance,,"320 Sevilla Ave, Ste 202, Coral Gables, FL 33134",(305) 203-0333,,,,Web,
Abadin Dental,healthcare,dentistry,"Coral Gables, FL",(305) 783-3750,abadindental.com,5.0,,Web,
Gables Exceptional Dentistry,healthcare,dentistry,"Coral Gables, FL",,gablesexceptionaldentistry.com,,,Web,
Coral Gables Dentistry,healthcare,dentistry,"Coral Gables, FL",,coralgablesdentistry.com,,,Web,
Miami Smile Institute,healthcare,dentistry,"Coral Gables, FL",,miamismileinstitute.com,,,Web,
South Gables Dental,healthcare,dentistry,"Coral Gables, FL",,southgablesdental.com,,,Web,
MD Now Urgent Care - Coral Way,healthcare,urgent care,"2750 Coral Way, Coral Gables, FL 33145",(305) 569-9942,mymdnow.com,,,Web,
Coral Gables Executive Physicians,healthcare,concierge medicine,"800 Douglas Rd, Suite 125, Coral Gables, FL 33134",(305) 446-9940,cgepmd.com,,,Web,
Jackson Medical Group - Coral Gables,healthcare,primary care/cardiology,"3737 S.W. 8 St., suite B, Coral Gables, FL 33134",(305) 575-1620,jacksonhealth.org,,,Web,
The Family Medical Group Coral Gables,healthcare,family medicine,"1330 SW 22nd Street Suite 401, Miami, FL 33145",(305) 306-0233,thefamilymedgroup.com,,,Web,
Mount Sinai Primary & Specialty Care Coral Gables,healthcare,multi-specialty,"836 Ponce de Leon Boulevard, Suite 200, Coral Gables, FL 33134",(305) 441-0910,msmc.com,,,Web,
