

business_name,category,specialty,address,phone,website,rating,reviews,source,notes 
Peter T. Mavrick Law,legal,business law,"Coral Gables, FL",(305) 570-4042,,,,Web, 
John Patrick Musca Law,legal,criminal defense,"Coral Gables, FL",(305) 203-0333,,,,Web, 
Law Office of Diaz & N̼̱ez Elorza PA,legal,immigration,"Coral Gables, FL",(305) 521-3299,,,,Web, 
Law Offices of Rodrigo S. Da Silva PA,legal,immigration,"Miami, FL - Serving Coral Gables",(305) 615-1434,,,,Web, 
Kurzban Kurzban Tetzeli & Pratt PA,legal,immigration,"Coral Gables, FL",(305) 744-5888,,,,Web, 
Yablen Valiente,legal,family law,"Coral Gables, FL",(305) 476-5444,,,,Web, 
Peak Legal,legal,family law,"Miami, FL - Serving Coral Gables",(305) 697-1375,,,,Web, 
Mandel Law Group PA,legal,family law,"Throughout Florida",(786) 785-2579,,,,Web, 
Law Offices of Lawrence S. Katz PA,legal,family law,"Miami, FL - Serving Coral Gables",(305) 670-8656,,,,Web, 
Pamela I. Perry PA,legal,family law,"Coral Gables, FL",(305) 202-3545,,,,Web, 
David S. Willig Chartered,legal,patents,"Miami, FL - Serving Coral Gables",(305) 990-0562,,,,Web, 
Borgognoni Law PL,legal,patents,"Coral Gables, FL",(305) 981-6707,,,,Web, 
Bell Rosquete Reyes Esteban PLLC,legal,patents & trademarks,"Coral Gables, FL",(305) 570-1610,,,,Web, 
Wolfe Law Miami,legal,patents,"Miami, FL - Serving Coral Gables",(888) 655-4709,,,,Web, 
Pulver CPA,accounting,,"Coral Gables, FL",,pulvercpa.com,,,Web, A&G CPA Firm,accounting,,"Coral Gables, FL",,,,,Web, 
E. Gomez CPA LLC,accounting,construction/wholesaling,"Coral Gables, FL",,,,,Web, 
"De La Hoz, Perez & Barbeito, PLLC",accounting,,"2800 Ponce de Leon Suite 1020, Coral Gables, FL 33134",(305) 448-7590,dpbcpa.com,,,Web, 
"Verdeja & Alvarez, LLP",accounting,,"Coral Gables, FL 33134",(305) 446-3177,va-cpa.com,,,Web, 
GEMRT CPAs,accounting,,"Coral Gables, FL",,gemrtcpa.com,,,Web, 
Compass Real Estate Coral Gables,real_estate,,"Coral Gables, FL",,compass.com,,,Web, 
One Sotheby's Coral Gables,real_estate,,"1507 Sunset Drive, Coral Gables, FL 33143",(305) 666-0562,onesothebysrealty.com,,,Web, 
Coldwell Banker Coral Gables,real_estate,,"Coral Gables, FL",,coldwellbanker.com,,,Web, 
Redfin Coral Gables,real_estate,,"Coral Gables, FL",,redfin.com,,,Web, 
Fortun Insurance,insurance,,"365 Palermo Ave, Coral Gables, FL 33134",(844) 660-2820,,,,Web, 
We Insure - Randy Marzullo,insurance,,"1550 Madruga Ave Ste 330, Coral Gables, FL 33146",(844) 472-2011,,,,Web, 
Wahlstrom Insurance Associates,insurance,,"1107 Genoa St, Coral Gables, FL 33134",(305) 447-8718,,,,Web, 
"Grover Winston Insurance Group, LLC",insurance,,"2655 LeJune Rd, Ste 533, Coral Gables, FL 33134",(786) 778-3154,,,,Web, 
Arco Agent Insurance Inc,insurance,,"2000 Ponce de Leon Blvd Ste 515, Coral Gables, FL 33134",(305) 582-2845,,,,Web, 
"Goosehead Insurance Agency, LLC",insurance,,"2222 Ponce de Leon Blvd Ste 300, Coral Gables, FL 33134",(305) 704-8133,,,,Web, 
BMS Insurance Agency of Florida LLC,insurance,,"299 Alhambra Cir Ste 212, Coral Gables, FL 33134",(305) 667-7717,,,,Web, 
Professional Building Solutions,construction,general contractor,"2332 Galiano St, Coral Gables, FL 33134",,,,,Web,
"Since 2004, 30+ years experience" Oceanside Construction & Remodeling,construction,design build,"161 Madeira Ave Suite 106, Coral Gables, FL 33134",,,,,Web, 
Rausa Builders Corp,construction,general contractor & roofing,"Coral Gables, FL",,,,,Web,"Since 2005, licensed & insured" Gables Construction Group,construction,commercial & residential,"Coral Gables, FL",,gablesconstructiongroup.com,,,Web,
Full-service construction company O'Hara Landscape and Maintenance Inc,landscaping,residential & commercial,"Coral Gables, FL",,oharalandscape.com,,,Web,
"Since 1973, licensed & insured" Landscaping by George,landscaping,full-service,"Coral Gables, FL",,landscapingbygeorge-fl.com,,,Web,
"Since 1981, 35+ years experience" Landscaping by Steve Blaum,landscaping,design & installation,"Coral Gables, FL",(305) 662-7045,blaumlandscaping.com,,,Web,
30+ years experience BrightView Landscape,landscaping,commercial,"Coral Gables, FL",,brightview.com,,,Web, 
Green's Garage,automotive,auto repair,"2221 SW 32nd Ave, Miami, FL 33145",,greensgaragemiami.com,4.6,110,Web,"Since 1957, ASE & NAPA certified" 
