record_type,source_file,line_number,category,doc_number,name,status,filing_type,princ_addr1,princ_addr2,princ_city,princ_state,princ_zip,princ_country,mail_addr1,mail_addr2,mail_city,mail_state,mail_zip,mail_country,file_date,fei,last_transaction_date,report_year_1,fic_name,county,addr1,addr2,city,state,zip,country,filing_date,cancellation_date,expiration_date,num_owners,more_owners_flag,owner1_doc_number,owner1_name,owner1_name_format,owner1_charter_number,manual_check_pass
cordata,cordata0.txt,1,llc_domestic_active,L03000010920,"J & S ENTERPRISES, L.C.",A,FLAL,26918 PAVIN DRIVE,,ENGLEWOOD,FL,34223,US,26918 PAVIN DRIVE,,ENGLEWOOD,FL,34223,US,03262003,050573639,09302019,2026,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,2,llc_domestic_inactive,L02000020020,"FREE LANCE FINISHING, LLC",I,FLAL,616 WEST 16TH ST.,,ST AUGUSTINE,FL,32080,,616 WEST 16TH ST.,,ST AUGUSTINE,FL,32080,,08072002,,09262003,,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,3,suite_addr2,L08000089710,"FERRER CONTRACTORS, LLC",I,FLAL,6520 NW 114TH AVE,1623,DORAL,FL,33178,US,6520 NW 114TH AVE,1623,DORAL,FL,33178,US,09222008,263396753,09242010,2009,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,9,sparse_old,711340,"INTERNATIONAL EXPLORERS CLUB, INC.",I,DOMNP,,,,,,,,,,,,,08151966,000000000,10211974,,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,10,profit_domestic_inactive,236190,ATLANTIC AIR CONDITIONING & ENGINEERING CORP,I,DOMP,,,,,,,,,,,,,05061960,000000000,06071966,,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,12,profit_foreign_active,F94000002850,"NILES BOLTON ASSOCIATES, INC.",A,FORP,"3060 PEACHTREE RD., N.W.",SUITE 600,ATLANTA,GA,30305,,"3060 PEACHTREE RD., N.W.",SUITE 600,ATLANTA,GA,30305,,05311994,581407613,05092011,2026,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,22,profit_domestic_active,P13000079730,LUC TAX SERVICES INC,A,DOMP,6409 WESTGATE DR,,ORLANDO,FL,32835,US,6409 WESTGATE DR,,ORLANDO,FL,32835,US,09272013,46-2874989,,2026,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,36,nonprofit_domestic_active,N25000015090,UNIVERSITY OF INTEGRATIVE MEDICINE INC.,A,DOMNP,6815 14TH ST W,,BRADENTON,FL,34207,US,6815 14TH ST W,,BRADENTON,FL,34207,US,11202025,41-2894252,04022026,2026,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,46,llc_foreign_active,M23000001030,"DIFFERENT SHOE ENTERPRISES, LLC",A,FORL,2606 46th St S,,Gulfport,FL,33711,US,"200 2ND AVE SOUTH, PMB 422",,ST PETERSBURG,FL,33701,US,01202023,47-5139954,,2026,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,60,lp_domestic_active,A16000000510,"CORAL CC GP, LLLP",A,DOMLP,"661 UNIVERSITY BOULEVARD, SUITE 200",,JUPITER,FL,33458,US,"661 UNIVERSITY BOULEVARD, SUITE 200",,JUPITER,FL,33458,US,09282016,81-4173419,,2026,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,64,zip_plus4,P06000009970,"NEW GENERATION MLS, INC.",I,DOMP,800 LAUREL OAK DRIVE,SUITE 303,NAPLES,FL,34108-2713,,800 LAUREL OAK DRIVE,SUITE 303,NAPLES,FL,34108-2713,,01182006,,09142007,,,,,,,,,,,,,,,,,,,
cordata,cordata0.txt,503,nonprofit_foreign_active,F22000006180,"COOP CAREERS, INC.",A,FORNP,601 Brickell Key Dr Ste 700,,Miami,FL,33131-2649,US,601 Brickell Key Dr Ste 700,,Miami,FL,33131-2649,US,10052022,831457260,,2026,,,,,,,,,,,,,,,,,,
ficdata,FICFILE.TXT,1,corporate_owner,G2300038552,,A,,,,,,,,,,,,,,,,,,CECH AUTO,ORANGE,1633 MINNESITA AVE,,WINTER PARK,FL,32789,,03242023,,12312028,00001,N,G2300038552,TRACTOR ENTERPRISES LLC,C,L17000151433,
ficdata,FICFILE.TXT,2,individual_owner,G23000038553,,A,,,,,,,,,,,,,,,,,,AUTO SOUNDS PLUS,BROWARD,"2530 W COMMERCIAL BLVD,SUITE B",,TAMARC,FL,33309,,03242023,,12312028,00001,N,G23000038553,HAJ AHMAD           MOHAMED,P,,
ficdata,FICFILE.TXT,8,addr2_suite,G23000040960,,A,,,,,,,,,,,,,,,,,,ADVANTAGE RENT A CAR,ORANGE,5950 HAZELTINE NATIONAL PARKWAY,SUITE 320,ORLANDO,FL,32822,,03302023,,12312028,00001,N,G23000040960,ORLANDO RENTCO LLC,C,L18000129500,
ficdata,FICFILE.TXT,74,zip_plus4,G23000048193,,A,,,,,,,,,,,,,,,,,,BUBBLE BRILLIANCE,MULTIPLE,11417 62ND LN N,,WEST PALM BEACH,FL,33412-1847,,04162023,,12312028,00001,N,G23000048193,BUBBLE BRILLIANCE LLC,C,L23000163424,
ficdata,FICFILE.TXT,41215,multi_owner,G25000007660,,A,,,,,,,,,,,,,,,,,,BRONX HOUSE PIZZA,MULTIPLE,"2800 N 6TH ST, UNIT PMB 324",,ST AUGUSTINE,FL,32084,,01172025,,12312030,00012,Y,G25000007660,BRONX BROTHERS PIZZA CORP,C,P18000092756,
