business_id,business_name,category_primary,postcode,expected_dataset,license_status,license_number,license_expiry,matched_name,match_score,notes
17realestatebrokers,17 Real Estate Brokers,real_estate,33134,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
19th_hole_sports_bar__grill,19th Hole Sports Bar & Grill,food_beverage,33146,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
450gradimiamiitalianrestaurant,450Gradi Miami Italian Restaurant,food_beverage,33143,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
924_bird_rd_coral_gable,924 bird rd coral gable,real_estate,33146,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
a4_graphic_design,A4 Graphic Design,construction,33134,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
alamir,Al-Amir,food_beverage,33146,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
alejandroalvarez,Alejandro Alvarez,real_estate,33134,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
alexallelectric,Alex All Electric,construction,33165,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
aloft_miami_dadeland,Aloft Miami Dadeland,real_estate,33156,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
alphafoundations,Alpha Foundations,construction,33134,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
amigogrio,Amigo Grill & Co,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
ampupchargingstation,AmpUp Charging Station,construction,33134,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
archivist_cafe,Archivist Cafe,food_beverage,33146,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
asplumbingheatingcoralgables,AS Plumbing & Heating Coral Gables,construction,33146,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
backdoor,Back Door,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
bardos_caffe,Bardo's Caffe,food_beverage,33134,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
