business_id,business_name,category_primary,postcode,expected_dataset,license_status,license_number,license_expiry,matched_name,match_score,notes
canes_central,'Canes Central,professional_services,33146,,not_required,,,,,
107tasteasianrestaurantcoralgables,107 Taste Asian Restaurant Coral Gables,food_beverage,33134,food_service,verified_active,SEA2331363,10/01/2026,107 TASTE,100,
107tasteasianrestaurantsouthmiami,107 Taste Asian Restaurant South Miami,food_beverage,33143,food_service,verified_active,SEA2337930,10/01/2026,107 TASTE,100,
120lino,120% Lino,retail,33134,,not_required,,,,,
17realestatebrokers,17 Real Estate Brokers,real_estate,33134,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
19th_hole_sports_bar__grill,19th Hole Sports Bar & Grill,food_beverage,33146,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
2555poncedeleon,2555 Ponce De Leon,other,33134,,not_required,,,,,
3_chefs_and_a_chicken,3 Chefs and a Chicken,food_beverage,33146,food_service,verified_active,SEA2315780,10/01/2026,3 CHEFS AND A CHICKEN,100,
300engineeringgroup,"300 Engineering Group, P.A.",professional_services,33146,,not_required,,,,,
305_drive_inc_limousine_service,"305 Drive Inc., Limousine Service",accounting,33143,,not_required,,,,,
305_hive_media,305 Hive(R) Media,marketing,33133,,not_required,,,,,
305_peruvian_modern_cuisine,305 Peruvian Modern Cuisine,food_beverage,33134,food_service,verified_active,SEA2338731,10/01/2026,MISTER O1 EXTRAORDINARY PIZZA,100,
3fmconsulting,3FM CONSULTING,professional_services,33134,,not_required,,,,,
4000_ponce_llc_cmc_group,"4000 Ponce, LLC (CMC Group)",accounting,33156,,not_required,,,,,
450gradimiamiitalianrestaurant,450Gradi Miami Italian Restaurant,food_beverage,33143,food_service,unlicensed,,,,,no active DBPR Hotels & Restaurants (food service) license found in area
450gradimiami,450Gradi Miami 🇺🇸,food_beverage,33134,food_service,verified_active,SEA2337125,10/01/2026,450GRADI,100,
4kids_of_south_florida,4KIDS of South Florida,nonprofit,33155,,not_required,,,,,
54dcoralgables,54D Coral Gables,wellness,33146,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
54dsteelcoralgables,54D STEEL Coral Gables,wellness,33146,out_of_scope,out_of_scope,,,,,massage/therapy may need DOH license — verify manually
7eleven,7-Eleven,retail,33146,,not_required,,,,,
924_bird_rd_coral_gable,924 bird rd coral gable,real_estate,33146,real_estate,unlicensed,,,,,no active DBPR Real Estate Commission (corporations) license found in area
aautotech,A Auto Tech Inc,auto_dealer,33146,,not_required,,,,,
agcfirmcoralgablesfl,"A&G - CPA Firm Coral Gables, FL",accounting,33134,,not_required,,,,,
agcfirm,A&G CPA Firm,accounting,33143,,not_required,,,,,
a4_graphic_design,A4 Graphic Design,construction,33134,construction,unlicensed,,,,,no active DBPR Construction Industry license found in area
aaa_insurance,AAA Insurance,insurance,33143,,not_required,,,,,
aapmiami,AAP Miami,retail,33134,,not_required,,,,,
abadindental,Abadin Dental,healthcare,33134,out_of_scope,out_of_scope,,,,,FL Dept. of Health (not DBPR — check flhealthsource.gov)
