business_id,business_name,contact_name,phone,website,address,lat,lon,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date,pkp_node_type,pkp_edges_summary,pkp_picks_shovels_summary,pkp_undercurrents_summary,pkp_key_signals,pkp_primary_risks,pkp_primary_actions,corroboration_sources,corroboration_count,price_tier_source,latitude,longitude,review_count_source
son,& son,,,,,,,10012,Coral Gables,retail,Clothing store,$$,5.0,Google (Outscraper),36,,,0.55,Moderate,Y,Critical,multiple_issues(3); no_contact_info,N,outscraper,,2026-02-19,asset,Local business network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (5.0) — quality leader,Standard operational risks,Prospect for CGCC membership; Re-categorize with manual review,google,1,inferred,,,inferred
canes_central,'Canes Central,,(305) 284-4247,https://canescentral.miami.edu/,1307 Stanford Drive,25.720032,-80.2756652,33146,University of Miami Area,professional_services,professional_services/university,$$$,2.8,Google (SerpApi),75,,,0.60,Low,Y,Operational,low_rating(2.8); low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,asset,Local business network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Low rating (2.8) — at-risk; Low validation confidence — verify status,Standard operational risks,Prospect for CGCC membership,osm,1,original,25.7211,-80.2773,inferred
100_montaditos_coral_gables,100 Montaditos Coral Gables,Ms. Breezy Leza,(786) 449-5203,https://100montaditos.com,"327 Alhambra Cir, Coral Gables, FL 33134",,,,Coral Gables,food_beverage,,$$,4.2,Google (SerpApi),76,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Monitor for rating/review changes,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,original
107tasteasianrestaurantcoralgables,107 Taste Asian Restaurant Coral Gables,,(786) 409-6951,,,25.7528829,-80.2619428,33134,Alhambra Circle,food_beverage,Asian restaurant,$$,4.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,platform,Alhambra financial district,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,High rating (4.9) — quality leader,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,google,1,inferred,25.7497,-80.2647,inferred
107tasteasianrestaurantsouthmiami,107 Taste Asian Restaurant South Miami,,(786) 641-5122,,,25.702635899999997,-80.2907965,33143,Sunset / South Gables,food_beverage,Asian restaurant,$$,4.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,platform,Local business network,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,High rating (4.9) — quality leader,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,google,1,inferred,25.7062,-80.282,inferred
1111mediagroupwebsitescontentsocialseoid,1111 Media Group | Websites - Content - Social - SEO - Paid,,(305) 351-3103,,,25.760797,-80.23895139999999,33135,Douglas Road Corridor,marketing,Marketing agency,$$,4.9,Google (Outscraper),56,,,0.9,High,N,,,N,outscraper,,2026-02-19,platform,Douglas Road transit corridor,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.9) — quality leader,Standard operational risks,Prospect for CGCC membership,google,1,inferred,25.7666,-80.234,inferred
17realestatebrokers,17 Real Estate Brokers,,(786) 693-3910,,,25.7564331,-80.2585733,33134,Ponce de Leon Corridor,real_estate,Real estate agency,$$,4.3,Google (Outscraper),56,,,0.95,High,N,,,N,outscraper,,2026-02-19,asset,Ponce corridor professional cluster,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Monitor for rating/review changes,Standard operational risks,Prospect for CGCC membership; Re-categorize with manual review,google,1,inferred,25.7497,-80.2647,inferred
19th_hole_sports_bar__grill,19th Hole Sports Bar & Grill,,,,"13610 Deering Bay Dr, Coral Gables, FL 33158",25.7398279,-80.2795776,33146,Bird Road Corridor,food_beverage,food_beverage/pub,$$,5,Google (SerpApi),87,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,platform,Bird Road commercial strip,"Sysco, US Foods supply chain; POS systems; delivery platforms",Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,High rating (5.0) — quality leader; Low validation confidence — verify status,Lease renewal risk; labor cost pressure,Prospect for CGCC membership,osm,1,original,25.7211,-80.2773,inferred
247_nursing_care_inc,24/7 Nursing Care Inc.,"Mr. Luis Mejer, Jr.",(786) 518-3622,https://247nursingcare.com,"9425 Sunset Dr #170, Miami, FL 33173",,,,Coral Gables,healthcare,,$$,4.4,Google (SerpApi),52,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,asset,CGCC member network,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,Monitor for rating/review changes,Standard operational risks,Re-categorize with manual review,cgcc,1,original,,,inferred
2555poncedeleon,2555 Ponce De Leon,,(305) 444-8900,,,25.7480035,-80.258028,33134,Miracle Mile,other,Business center,$$,4.8,Google (Outscraper),76,,,0.95,High,N,,,N,outscraper,,2026-02-19,asset,Miracle Mile retail corridor,General commercial infrastructure,General market conditions; Coral Gables growth trajectory,High rating (4.8) — quality leader,Standard operational risks,Prospect for CGCC membership; Re-categorize with manual review,google,1,inferred,25.7497,-80.2647,inferred
