business_id,business_name,old_category_primary,old_classified_as,new_category
305_pink_pack,305 Pink Pack,other,other,nonprofit
4000_ponce_llc_cmc_group,"4000 Ponce, LLC (CMC Group)",other,other,accounting
agcfirmcoralgablesfl,"A&G - CPA Firm Coral Gables, FL",food_beverage,food_beverage,accounting
aaa_million_auto_parts,AAA Million Auto Parts,retail,retail,auto_dealer
abcoptometry,ABC Optometry,other,other,healthcare
abitosaccountantsadvisors,AbitOs Accountants + Advisors,food_beverage,food_beverage,accounting
accountorcaccountingbookkeepingandtaxexperts,Accountor CPA Accounting Bookkeeping and Tax Experts,financial_services,financial_services,accounting
advance_auto_parts,Advance Auto Parts,retail,retail,auto_dealer
alchemyhairlab,Alchemy Hair Lab,food_beverage,food_beverage,personal_services
alegro_music_center,Alegro Music Center,retail,retail,arts_culture
alejandroalvarez,Alejandro Alvarez,other,other,real_estate
andreamaderal,Andrea Maderal,other,other,healthcare
anonymousflowers,Anonymous Flowers,other,other,retail
antonioperezc,"Antonio Perez CPA, P.A.",food_beverage,food_beverage,accounting
armandolaciosbarberstudiocoralgables,Armando Palacios Barber Studio - Coral Gables,food_beverage,food_beverage,personal_services
asasthetics,AS_Asthetics,other,other,healthcare
avantvisionoptical,AVANTVISION OPTICAL,other,other,healthcare
azucar_nightclub,Azucar Nightclub,auto_dealer,auto_dealer,arts_culture
baptisthealthurgentcarecoralgables,Baptist Health Urgent Care | Coral Gables,auto_dealer,auto_dealer,healthcare
barberstudiomi,Barber Studio M.I,food_beverage,food_beverage,personal_services
bewellrisejudisoslandaulmhc,"Be Well & Rise / Judi Pasos Landau, LMHC",other,other,healthcare
beyondupholstery,Beyond Upholstery,other,other,retail
blackbirdordinary,Blackbird Ordinary,other,other,arts_culture
bladenbuilderssupply,Bladen Builders Supply,other,other,retail
blancoupholstery,Blanco Upholstery,other,other,retail
bloomsooner,Bloom Sooner,other,other,healthcare
bosss_hair_salon,Bosss Hair Salon,retail,retail,personal_services
calixtires,CALIX TIRES INC,retail,retail,auto_dealer
car_repair,Car Repair,retail,retail,auto_dealer
carballoanimalclinic,Carballo Animal Clinic,other,other,healthcare
casa_familia_inc,Casa Familia Inc.,other,other,hospitality
casavalencia,Casa Valencia,other,other,hospitality
celinaruiz,Celina Ruiz,other,other,healthcare
cerezosflowers,Cerezos Flowers,other,other,retail
chase_motor,Chase Motor,retail,retail,auto_dealer
chinacabinets,China Cabinets,other,other,retail
city_year_miami,City Year Miami,other,other,nonprofit
codina_partners,Codina Partners,other,other,real_estate
coin_laundry_of_america_6,Coin Laundry of America 6,retail,retail,personal_services
coldwell_banker_realty,Coldwell Banker Realty,banking,banking,real_estate
colliers_international,Colliers International,other,other,professional_services
cooltreasuresantiquescollectibles,Cool Treasures Antiques & Collectibles,other,other,retail
cuban_museum,Cuban Museum,hospitality,hospitality,arts_culture
cynthiagolomb,Cynthia Golomb,other,other,healthcare
dawsonassociatesc,"Dawson & Associates, CPA",food_beverage,food_beverage,accounting
digital_future_marketing,Digital Future Marketing,professional_services,professional_services,marketing
douglas_elliman,Douglas Elliman,other,other,real_estate
dreamtoyflowers,Dream Toy Flowers,other,other,retail
dukanee_beauty_supply,Dukanee Beauty Supply,retail,retail,personal_services
ecogreenhandyman,EcoGreen Handyman,other,other,construction
elevatepsychiatry,Elevate Psychiatry,other,other,healthcare
entertainingdonations,Entertaining Donations,other,other,nonprofit
fiorista,Fiorista,other,other,retail
floralinea,Floralinea,other,other,retail
floranaflowers,Florana Flowers,other,other,retail
four_points_by_sheraton_coral_gables,Four Points by Sheraton Coral Gables,other,other,hospitality
fresh_del_monte_produce_inc,Fresh Del Monte Produce Inc.,other,other,retail
gables_laundry_and_dry_cleaners,Gables Laundry and Dry Cleaners,retail,retail,personal_services
giralda_place,Giralda Place,other,other,auto_dealer
golden_touch_barbershop__salon,Golden Touch Barbershop & Salon,retail,retail,personal_services
gomezlawcoralgableshoalawyersrealestateattorneys,Gomez Law - Coral Gables HOA Lawyers & Real Estate Attorneys,legal,legal,real_estate
goodyearautoservice,Goodyear Auto Service,retail,retail,auto_dealer
graingerindustrialsupply,Grainger Industrial Supply,other,other,retail
grazianos_mercado_at_the_lifetime_building,Graziano's Mercado at The Lifetime Building,other,other,retail
guerrerojeanethe,Guerrero Jeanethe,other,other,healthcare
hair_cuttery,Hair Cuttery,retail,retail,personal_services
happy_wine_in_the_grove,Happy Wine in the Grove,retail,retail,food_beverage
helenmolinaresptdptcidncpt,"Helen Molinares, PT, DPT, CIDN, CPT",other,other,healthcare
hidalgoupholstery,Hidalgo Upholstery,other,other,retail
hotheadsbarbershop,Hot Heads Barber Shop,food_beverage,food_beverage,personal_services
ilash_and_skincare,iLash and Skincare,retail,retail,personal_services
ivette_odoski_consulting,Ivette ODoski Consulting,legal,legal,consulting
jcmoratec,"JCM Corporate CPA, P.A.",food_beverage,food_beverage,accounting
jjorchids,JJ Orchids,other,other,retail
keller_williams,Keller Williams,other,other,real_estate
kojin_20,Kojin 2.0,other,other,food_beverage
lag_realty_international_s_a,"LAG REALTY INTERNATIONAL, S. A.",legal,legal,real_estate
lambdasoftware,Lambda Software,other,other,technology
latin_american_art_museum,Latin American Art Museum,hospitality,hospitality,arts_culture
le_paris_cake_design_bakery,Le Paris Cake Design Bakery,retail,retail,food_beverage
let_go_stress_llc,"Let Go Stress, LLC",other,other,wellness
life_time,Life Time,other,other,wellness
livosecure,LivoSecure,other,other,technology
locustprojects,Locust Projects,other,other,nonprofit
lot18,Lot 18,other,other,auto_dealer
lot31,Lot 31,other,other,auto_dealer
lot36,Lot 36,other,other,auto_dealer
mairenaflowers,Mairena Flowers,other,other,retail
maman,maman,other,other,food_beverage
mamey_miami,Mamey Miami,other,other,food_beverage
marjorieflowers,Marjorie flowers,other,other,retail
markham_yard,Markham Yard,other,other,marketing
marmeshkathleendvm,Marmesh Kathleen DVM,other,other,healthcare
massage_envy,Massage Envy,retail,retail,wellness
matildeflowers,Matilde flowers,other,other,retail
maylencadenasarnp,"Maylen Cadenas, ARNP",other,other,healthcare
mediaglobalgroup,Media Global Group,consulting,consulting,marketing
michaelobregon,Michael Obregon,other,other,healthcare
michaels,Michaels,other,other,retail
miriammendivil,Miriam Mendivil,other,other,healthcare
mitchellhardware,Mitchell Hardware,other,other,retail
moi_homemade_peruvian_bakery,Moi Homemade Peruvian Bakery,retail,retail,food_beverage
monahanmijaresc,Monahan Mijares CPA,food_beverage,food_beverage,accounting
morethanflowers,More Than Flowers,other,other,retail
motek_coral_gables,Motek Coral Gables,other,other,food_beverage
new_company_beauty_shop,New Company Beauty Shop,retail,retail,personal_services
nickodelupholstery,Nickodel Upholstery,other,other,retail
novotel_miami_brickell,Novotel Miami Brickell,other,other,hospitality
oak_harbors_laundry,Oak Harbor's laundry,retail,retail,personal_services
office_of_the_university_registrar,Office of the University Registrar,professional_services,professional_services,education
officemax,OfficeMax,other,other,retail
oscardetoffolijrc,"Oscar De Toffoli, Jr., CPA, PA",food_beverage,food_beverage,accounting
p2505,P2505,other,other,auto_dealer
trisatare,PATRISA TARE,other,other,healthcare
pereirajacquelinedvm,Pereira Jacqueline DVM,other,other,healthcare
ponemus,Ponemus,other,other,technology
premiumupholstery,Premium Upholstery,other,other,retail
primaverafloristpedro,Primavera Florist Pedro,other,other,retail
priorealestate,prio.realestate,other,other,real_estate
prominentfinancialconsultants,Prominent Financial Consultants,financial_services,financial_services,consulting
pura_vida_miami,Pura Vida Miami,other,other,food_beverage
qualifieddatasystems,Qualified Data Systems,other,other,technology
quirchfoodshq,Quirch Foods HQ,other,other,food_beverage
rexfabrics,Rex Fabrics,other,other,retail
rolys_auto_service,Roly's Auto Service,retail,retail,auto_dealer
roma_bakery,Roma Bakery,retail,retail,food_beverage
rudmapicture,Rudma Picture,other,other,retail
saatva,Saatva,other,other,retail
