business_id,business_name,contact_name,phone,website,address,latitude,longitude,postcode,neighborhood_area,category_primary,category_secondary,price_tier,rating_primary_value,rating_primary_source,rating_primary_review_count,top_delights,top_pain_points,osint_confidence,validation_tier,red_flag_present,red_flag_severity,red_flag_notes,chamber_member,source_file,batch_id,last_reviewed_date,corroboration_sources,corroboration_count,sunbiz_status,sunbiz_name,sunbiz_filing_number,price_tier_source,lat,lon,pkp_edges_summary,pkp_key_signals,pkp_node_type,pkp_picks_shovels_summary,pkp_primary_actions,pkp_primary_risks,pkp_undercurrents_summary,review_count_source
son,& son,,,,,25.742227,-80.266061,10012,Coral Gables,retail,Clothing store,$$,5.0,Google (Outscraper),36,,,0.55,Moderate,Y,Critical,multiple_issues(3); no_contact_info,N,outscraper,,2026-02-19,google,1,,,,inferred,,,Local business network,High rating (5.0) — quality leader,asset,General commercial infrastructure,Prospect for CGCC membership; Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
canes_central,'Canes Central,,(305) 284-4247,https://canescentral.miami.edu/,1307 Stanford Drive,25.7211,-80.2773,33146,University of Miami Area,professional_services,professional_services/university,$$$,2.8,Google (SerpApi),75,,,0.60,Low,Y,Operational,low_rating(2.8); low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.720032,-80.2756652,Local business network,Low rating (2.8) — at-risk; Low validation confidence — verify status,asset,General commercial infrastructure,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
100_montaditos_coral_gables,100 Montaditos Coral Gables,Ms. Breezy Leza,(786) 449-5203,https://us.100montaditos.com/,"327 Alhambra Cir, Coral Gables, FL 33134",25.742227,-80.266061,,Coral Gables,food_beverage,,$$,4.2,Google (SerpApi),76,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,Monitor for rating/review changes,asset,General commercial infrastructure,Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,original
107tasteasianrestaurantcoralgables,107 Taste Asian Restaurant Coral Gables,,(786) 409-6951,http://107taste.com/,,25.7497,-80.2647,33134,Alhambra Circle,food_beverage,Asian restaurant,$$,4.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7528829,-80.2619428,Alhambra financial district,High rating (4.9) — quality leader,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
107tasteasianrestaurantsouthmiami,107 Taste Asian Restaurant South Miami,,(786) 641-5122,https://107taste.com/,,25.7062,-80.282,33143,Sunset / South Gables,food_beverage,Asian restaurant,$$,4.9,Google (Outscraper),87,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.702635899999997,-80.2907965,Local business network,High rating (4.9) — quality leader,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
1111mediagroupwebsitescontentsocialseoid,1111 Media Group | Websites - Content - Social - SEO - Paid,,(305) 351-3103,https://1111mediagroup.com/miami,,25.7666,-80.234,33135,Douglas Road Corridor,marketing,Marketing agency,$$,4.9,Google (Outscraper),56,,,0.9,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.760797,-80.23895139999999,Douglas Road transit corridor,High rating (4.9) — quality leader,platform,General commercial infrastructure,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
17realestatebrokers,17 Real Estate Brokers,,(786) 693-3910,,,25.7497,-80.2647,33134,Ponce de Leon Corridor,real_estate,Real estate agency,$$,4.3,Google (Outscraper),56,,,0.95,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7564331,-80.2585733,Ponce corridor professional cluster,Monitor for rating/review changes,asset,General commercial infrastructure,Prospect for CGCC membership; Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
19th_hole_sports_bar__grill,19th Hole Sports Bar & Grill,,,,"13610 Deering Bay Dr, Coral Gables, FL 33158",25.7211,-80.2773,33146,Bird Road Corridor,food_beverage,food_beverage/pub,$$,5,Google (SerpApi),87,,,0.60,Low,Y,Operational,no_contact_info; low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7398279,-80.2795776,Bird Road commercial strip,High rating (5.0) — quality leader; Low validation confidence — verify status,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
247_nursing_care_inc,24/7 Nursing Care Inc.,"Mr. Luis Mejer, Jr.",(786) 518-3622,https://www.24-7nursingcare.com/,"9425 Sunset Dr #170, Miami, FL 33173",25.742227,-80.266061,,Coral Gables,healthcare,,$$,4.4,Google (SerpApi),52,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,Monitor for rating/review changes,asset,General commercial infrastructure,Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
2555poncedeleon,2555 Ponce De Leon,,(305) 444-8900,,,25.7497,-80.2647,33134,Miracle Mile,other,Business center,$$,4.8,Google (Outscraper),76,,,0.95,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7480035,-80.258028,Miracle Mile retail corridor,High rating (4.8) — quality leader,asset,General commercial infrastructure,Prospect for CGCC membership; Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
3_chefs_and_a_chicken,3 Chefs and a Chicken,,(786) 953-4811,https://3chefsandachicken.com/3chefsandachicken-xso1yr?utm_source=google,6601 Southwest 57th Avenue,25.7211,-80.2773,33146,Sunset / South Gables,food_beverage,food_beverage/fast_food,$$,4.3,Google (SerpApi),87,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7073215,-80.2852399,Local business network,Low validation confidence — verify status,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
300engineeringgroup,"300 Engineering Group, P.A.",,(305) 763-9829,http://300engineering.com/,,25.7211,-80.2773,33146,Ponce de Leon Corridor,professional_services,Engineering consultant,$$$,5.0,Google (Outscraper),75,,,1.0,High,N,,,N,outscraper,,2026-02-19,google,1,,,,inferred,25.7513418,-80.2590994,Ponce corridor professional cluster,High rating (5.0) — quality leader,asset,General commercial infrastructure,Prospect for CGCC membership,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
305_drive_inc_limousine_service,"305 Drive Inc., Limousine Service",Mr. Branimir Stanimirovic,(305) 310-9357,http://www.305-drive.com/,"1100 S Miami Ave, Miami, FL 33130",25.742227,-80.266061,,Coral Gables,accounting,Accounting Department,$$$,4.9,Google (SerpApi),4,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (4.9) — quality leader,asset,General commercial infrastructure,Maintain monitoring cadence,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
305_hive_media,305 Hive(R) Media,Ms. Samantha Murphy,(305) 907-7071,https://305hive.com,,25.742227,-80.266061,,Coral Gables,marketing,,$$,,,,,,0.60,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,Monitor for rating/review changes,platform,General commercial infrastructure,Collect rating data via SerpApi enrichment,Standard operational risks,General market conditions; Coral Gables growth trajectory,
305_peruvian_modern_cuisine,305 Peruvian Modern Cuisine,,(786) 409-7144,https://305peruvian.com/?utm_source=google,"261 SW 8th St, Miami, FL 33130, United States",25.7497,-80.2647,33134,Coral Gables,food_beverage,food_beverage/restaurant,$$,4.8,Google (SerpApi),87,,,0.60,Low,Y,Operational,low_confidence_unverified,N,osm,CG-OSINT-20260211-v2.0,2026-02-11,osm,1,,,,original,25.7498154,-80.2494716,Local business network,High rating (4.8) — quality leader; Low validation confidence — verify status,platform,"Sysco, US Foods supply chain; POS systems; delivery platforms",Prospect for CGCC membership,Lease renewal risk; labor cost pressure,Rising rents on Miracle Mile; delivery app commission pressure; labor shortage,inferred
305_pink_pack,305 Pink Pack,Ms. Rosemary Carrera,(305) 859-1224,https://305pinkpack.org,,25.742227,-80.266061,,Coral Gables,nonprofit,,$$,5,Google (SerpApi),76,,,0.60,Moderate,Y,Critical,multiple_issues(2),Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (5.0) — quality leader,asset,General commercial infrastructure,Re-categorize with manual review,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
305_senior,305 Senior,Ms. Viviana Laboy,(786) 326-0656,http://www.palacecoralgables.com/,"1 Andalusia Ave, Coral Gables, FL 33134",25.742227,-80.266061,,Coral Gables,accounting,Accounting Department,$$$,4.9,Google (SerpApi),4,,,0.55,Moderate,N,,,Y,osint-cgcc-v1,batch_cgcc_osint_01,2026-02-11,cgcc,1,,,,original,,,CGCC member network,High rating (4.9) — quality leader,asset,General commercial infrastructure,Maintain monitoring cadence,Standard operational risks,General market conditions; Coral Gables growth trajectory,inferred
