business_name,old_website,new_website,match_type
1111 Media Group | Websites - Content - Social - SEO - Paid,https://www.digitaltaxgroup.com/,https://1111mediagroup.com/miami,phone
107 Taste Asian Restaurant Coral Gables,https://www.goldengablesinsuranceagency.com/,http://107taste.com/,phone
107 Taste Asian Restaurant South Miami,http://accountantsinmiami.com/,https://107taste.com/,phone
100 Montaditos Coral Gables,https://100montaditos.com,https://us.100montaditos.com/,name
24/7 Nursing Care Inc.,https://247nursingcare.com,https://www.24-7nursingcare.com/,phone
"305 Drive Inc., Limousine Service",https://305drive.com,http://www.305-drive.com/,phone
"300 Engineering Group, P.A.",https://www.merllaw.com/,http://300engineering.com/,phone
"4000 Ponce, LLC (CMC Group)",https://4000ponce.com,http://cmcgroupmiami.com/,phone
450 Gradi,https://450gradipizzerias.com,https://450gradimiami.com/,phone
54D Coral Gables,https://weinsuregroup.com/agent/coral-gables-rick-leal,https://cg.54d.com/,phone
450Gradi Miami 🇺🇸,http://mvshospital.com/,https://450gradimiami.com/,phone
1st Choice Electrician,,https://1stchoiceelectricianwa.blogspot.com/,phone
A Auto Tech Inc,https://www.yourcpaaccountant.com/,http://www.aautotech.com/,phone
ABC Optometry,,http://www.abcoptometry.com/,phone
Abadin Dental - Invisalign Veneers Implants,http://dartdentalmiami.com/,https://www.abadindental.com/,phone
AbitOs Accountants + Advisors,http://www.imtaxadvisors.com/,https://www.abitos.com/,phone
Academy for Community Education,https://4beauty.net/,http://ace.dadeschools.net/,name
"A&G - CPA Firm Coral Gables, FL",https://www.my.cpa/?utm_campaign=gmbmiami,http://www.agcpafirm.com/,phone
Advanced Physical Therapy Specialists,https://coconutgrovetherapy.com/,http://www.advancedpts.com/,phone
AECOM,,http://aecom.com/,phone
AIRLAB Fitness Coral Gables,https://www.thumpgym.com/,https://airlabfitness.com/coral-gables/,phone
Alcazar Plaza,,https://www.coralgables.com/departments/CommunityRecreation/,name
Alchemy Hair Lab,https://book.squareup.com/appointments/0rnj7mu5ywg43s/location/LZA5F47KJ39MJ/services,http://www.alchemyhairlabmiami.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing&utm_content=website_button,name
Aldi,https://stores.aldi.us/fl/miami/3750-s-dixie-hwy,https://info.aldi.us/stores/l/fl/miami/3750-s-dixie-hwy/fa44,phone
Alex All Electric,https://www.atmdepot.com/,https://electricianformiami.com/,phone
Alejandro Alvarez,,https://alejandroalvarezhomes.com/?utm_source=gbp&utm_medium=organic,phone
Alexander S. Tecle - Financial Advisor,https://www.artigianomiami.com/,http://ztpwm.com/,phone
Alhambra Station Cafe,https://alhambrastationcafe.com,https://www.toasttab.com/alhambrastationcafe/v3,phone
Aloft Miami Dadeland,https://aloftdadeland.com,https://www.marriott.com/en-us/hotels/miamd-aloft-miami-dadeland/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,name+zip
ALO,https://dannyjelaca.com/,https://www.aloyoga.com/?utm_source=extnet&utm_medium=yext,phone
Alpha Claims Consultants,https://alpha.claims,http://alphaclaimscorp.com/,phone
Aloft Coral Gables,https://aloftcoralgables.com,https://www.marriott.com/en-us/hotels/miacl-aloft-coral-gables/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,phone
Amaury Jewelry,http://www.seyboldjewelry.com/,https://amauryjewelry.com/,phone
American Children's Orchestras,https://locations.coinflip.tech/us/nc/garner/401-benson-road,https://www.americanchildrensorchestras.org/,phone
Alpha Foundations,,https://www.alphafoundations.com/about/meet-the-team/miami-sat/?utm_source=google&utm_medium=organic&utm_campaign=gmb_alf-mia-mia,phone
AmpUp Charging Station,,https://ampup.io/,phone
Andrea Maderal,,https://doctors.umiamihealth.org/provider/andrea-dale-maderal/525780,phone
Amerifirst Construction Corp - CGC # 1507077,http://www.acbotax.com/,https://amerifirstconstruction.com/,phone
Apex Engineering,,http://www.thestructurals.com/,name
Ardurra,,https://ardurra.com/,phone
ARTE CUCINE,https://artecucine.com,https://artecucine.net/,name
Armando Palacios Barber Studio - Coral Gables,http://www.selabeautystudio.com/,https://apbarberstudio.com/,phone
Arthur Murray Coral Gables Dance Studio,https://arthurmurray.com,https://arthur-murray.com/,phone
Artigiano Inc.,https://artigianomens.com,https://www.artigianomiami.com/,phone
Arthur Murray Dance Studio Coral Gables,,https://arthur-murray.com/,phone
Artisan Beauty Studio and Art Gallery,https://rbsbookings.as.me/,http://artisangallery.us/,phone
AS_Asthetics,,https://soto-aesthetics.com/,phone
"Arya Hotel and Suites Coconut Grove, WorldHotels Distinctive",https://animalhospitalcoconutgrove.com/,https://www.aryahotel.us/,phone
Artbag,,https://www.artbag.com/,phone
Ascension/Descension,http://ascensionhealingcenterswfl.com/,http://ascensionhealing.center/,phone
Asian Thai Kitchen,https://sw8th.asianthaikitchenonline.com,https://www.asianthaikitchen2fl.com/,name
Asian Nails and Spa,,https://www.facebook.com/asiannails33146,phone
Astor Wines & Spirits,,https://www.astorwines.com/?utm_source=google&utm_medium=organic&utm_campaign=local,phone
"Atkins Engineers, Inc.",,https://maxwellengineers.com/,phone
Atlantic Crystals Construction,,http://www.atlanticcrystalsconstruction.com/pages/contact.asp,phone
Au Advisors,https://strikeau.com,https://www.blockadvisors.com/tax-office-near-me/florida/coral-gables/8470/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,name+zip
Auburndale Elementary School,https://auburndaleelem.com/,http://auburndale.dadeschools.net/,name
AutoNation Chevrolet Coral Gables Service Center,http://www.animalhealthrehab.com/,https://www.autonationchevroletcoralgables.com/Service?&utm_source=local&utm_medium=organic&utm_campaign=*000012248*GMB,phone
AutoNation Chevrolet Coral Gables,,https://www.autonationchevroletcoralgables.com/?&utm_source=local&utm_medium=organic&utm_campaign=*000012248*GMB,phone
Avetrani Financial - Northwestern Mutual,,http://www.percyavetrani.com/?utm_source=google&utm_medium=mybusiness&utm_campaign=lo3,phone
Babette,,https://www.babettemiami.com/,name
AVANTVISION OPTICAL,,http://avantvisionoptical.com/,phone
Ball & Chain,https://madroomhospitality.com,https://ballandchainmiami.com/,name
"B C Architects AIA, Inc.",,https://bcarchitects.com/,phone
Bank of America (with Drive-thru ATM),https://locations.bluefoundrybank.com/blue-foundry-bank-8a558df4fc28?utm_source=google&utm_medium=Yext,https://locators.bankofamerica.com/fl/coralgables/financial-centers-coral-gables-9739.html?utm_source=GMBlisting&utm_medium=organic,phone
B & R Electronics Supply,http://www.acehardware.com/store-details/19199?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=19199,https://brelectronic.com/index.htm,phone
Bachour,,https://antoniobachour.com/?utm_source=google,phone
Baptist Health Brain & Spine Care | Coral Gables (Doctors Hospital),https://www.dadelandanimalhospital.com/,https://baptisthealth.net/Neuroscience?y_source=1_MjAzMTMxOTIwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,phone
Baptist Health Concierge Medicine | Coral Gables (Belmont Village),,https://baptisthealth.net/services/concierge-medicine?y_source=1_MTA2Nzc3OTI3Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,phone
Baptist Health Doctors Hospital ER | Coral Gables,,https://baptisthealth.net/locations/emergency-care/doctors-hospital-emergency-room?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTI5MTY5OTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,phone
Baptist Health Surgery Center | Coral Gables,,https://baptisthealth.net/locations/surgery-centers/baptist-health-orthopedic-care-coral-gables-4th-floor?y_source=1_MjI2Mjg2MjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,phone
Baptist Health Surgery | Coral Gables (Doctors Hospital),,https://baptisthealth.net/locations/hospitals/doctors-hospital?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTIwNTAyMzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,name
Baptist Health Urgent Care | Coral Gables,,https://baptisthealth.net/locations/urgent-care/coral-gables-urgent-care?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTIwNTAzNjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,phone
Baptist Health Physical Therapy & Rehabilitation | Coral Gables,,https://baptisthealth.net/locations/physical-rehabilitation-centers/baptist-health-physical-therapy-and-rehabilitation---coral-gables?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTIwNTAzMTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,phone
Baptist Rehabilitation Hospital,https://baptisthealth.net/locations/physical-rehabilitation-centers/baptist-health-physical-therapy-and-rehabilitation---coral-gables?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTIwNTAzMTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.baptisthealthrehabhospital.com/,name
Barber Studio M.I,https://www.transformativemindset.com/,http://mibarberstudio.com/,phone
Barby Nails Spa,,https://barby-nails-spa-llc.square.site/,phone
Banyan Day School,,http://banyandayschool.org/,name
Bay 13 Brewery And Kitchen,,https://www.bay13brewery.com/,phone
"Be Well & Rise / Judi Pasos Landau, LMHC",,https://www.bewellandrise.co/,phone
Beauchamp Construction Co Inc,http://www.acehardware.com/store-details/02479?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=02479,http://www.beauchampco.com/,phone
"Beatriz Navarro Goudie, Antilles Realty",,https://makecoralgableshome.com/,phone
"Becker, Coral Gables, FL",,http://beckerlawyers.com/?utm_source=GMBlisting&utm_medium=organic,phone
Beauty Atelier,,https://beautyatelier40.booksy.com/a/,phone
"Behar Font & Partners, P.A. - Robert Behar & Javier Font",,http://www.beharfont.com/,phone
Basilico Ristorante Coral Gables,,https://basilicomiami.com/,phone
Bayshore Wealth Advisors,,http://www.bayshorewealth.com/,phone
"Benjamin Laurel Reed, MD",http://www.miamiwomensobgyn.com/,https://baptisthealth.net/doctors/Benjamin-Laurel-Reed/3198650?utm_source=yext&utm_medium=google&utm_campaign=listing&y_source=1_MTA4MjU5ODA4OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,phone
