business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
CRAFT Coral Gables,(786) 772-6932,https://www.craftmiami.us/,"127 Giralda Ave, Coral Gables, FL 33134",25.7515153,-80.2574189,33134,4.9,5789,Restaurant,$20–30,apify
Bistro Café,(305) 530-8193,https://instagram.com/bistrocaferest,"4155 Laguna St, Coral Gables, FL 33146",25.7333663,-80.2610329,33146,5,11602,Brunch restaurant,$20–30,apify
Bulla Gastrobar Coral Gables,(786) 810-6215,https://bullagastrobar.com/locations/coral-gables/,"2500 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7485084,-80.2589087,33134,4.9,13465,Spanish restaurant,$30–50,apify
Pura Vida Miami,(305) 535-4142,https://www.puravidamiami.com/,"244 Miracle Mile, Coral Gables, FL 33134",25.7491723,-80.2596398,33134,4.8,2052,Coffee shop,$20–30,apify
La Rosa Gastrobar,(786) 870-5466,https://www.larosagastrobar.com/?y_source=1_MjAxNTc0NDk5Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"382 Miracle Mile, Coral Gables, FL 33134",25.7490594,-80.2622985,33134,5,1063,Restaurant,None,apify
Beauty & The Butcher,(305) 665-9661,https://www.beautyandthebutchermiami.com/,"6915 Southwest 57th Avenue, S Red Rd, Coral Gables, FL 33143",25.7050306,-80.2851878,33143,4.9,2348,American restaurant,$100+,apify
Doc B's Restaurant,(786) 864-1220,https://docbsrestaurant.com/locations/coral-gables,"301 Miracle Mile, Coral Gables, FL 33134",25.7496233,-80.2608567,33134,4.7,1947,American restaurant,$20–30,apify
Eating House Miami,(786) 580-3745,http://www.eatinghousemiami.com/,"128 Giralda Ave, Coral Gables, FL 33134",25.7512111,-80.2574181,33134,4.5,889,Restaurant,$50–100,apify
"Le Parc-Bonjour, Café Bistro",(305) 722-8785,https://leparccafe.com/,"997 N Greenway Dr, Coral Gables, FL 33134",25.7530792,-80.2747236,33134,4.7,428,Restaurant,$10–20,apify
Naked Farmer,(305) 487-7327,https://www.eatnakedfarmer.com/,"137 Giralda Ave, Coral Gables, FL 33134",25.7515208,-80.2576472,33134,4.9,1192,New American restaurant,$10–20,apify
