business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
IM Tax Advisors,(305) 631-6666,http://www.imtaxadvisors.com/,"5975 Sunset Dr #504, South Miami, FL 33143",25.7047296,-80.2906223,33143,5,122,Tax preparation service,None,apify
"My CPA, PA",(954) 894-2003,https://www.my.cpa/?utm_campaign=gmbmiami,"1430 S Dixie Hwy Ste 315, Miami, FL 33146",25.7097758,-80.2819587,33146,5,80,Certified public accountant,None,apify
PBC Accounting and Tax Services Corp,(786) 536-7659,https://www.pbctaxes.com/,"9700 S Dixie Hwy #930, Miami, FL 33156",25.6805328,-80.3168592,33156,5,151,Tax preparation,None,apify
CPA Miami,(305) 567-3152,http://www.cpamiami.com/,"4000 Ponce de Leon Blvd Ste 470, Coral Gables, FL 33146",25.7339951,-80.258992,33146,4.7,47,Accounting firm,None,apify
CFLG Accountants|Advisors,(305) 662-7272,http://www.cflgcpa.com/,"8950 SW 74th Ct Ste 1210, Miami, FL 33156",25.687051,-80.3158267,33156,5,78,Certified public accountant,None,apify
RC CPAs & Business Advisors,(305) 615-2655,http://www.rc.cpa/,"9350 S Dixie Hwy #1250, Miami, FL 33156",25.6835327,-80.3145898,33156,4.9,37,Certified public accountant,None,apify
Sori Accounting Services,(201) 757-9660,,"9100 S Dadeland Blvd Apt 1500, Miami, FL 33156",25.6864842,-80.3148017,33156,5,25,Accounting firm,None,apify
Doeren Mayhew,(305) 670-0400,https://www.doeren.com/locations/south-miami-fl,"5975 Sunset Dr #802, South Miami, FL 33143",25.7045776,-80.2906724,33143,5,2,Certified public accountant,None,apify
KSDT Accountants & Advisors,(305) 670-3370,http://www.ksdt.com/,"9300 S Dadeland Blvd #600, Miami, FL 33156",25.6837242,-80.3170358,33156,4.9,63,Accounting firm,None,apify
"Hernandez Professional Accounting & Tax Preparer ""A name you can trust since 1991""",(305) 400-8649,http://www.hernandezprofessional.com/,"9380 SW 72nd St B-214, Miami, FL 33173",25.7005791,-80.3457662,33173,4.9,71,Accountant,None,apify
Accountants in Miami,(786) 250-4450,http://accountantsinmiami.com/,"8950 SW 74th Ct Ste 2201, Miami, FL 33156",25.687051,-80.3158857,33156,3.2,13,Accountant,None,apify
Cardinal Accounting Solutions,(305) 419-3001,https://www.cardinalslt.com/,"7700 N Kendall Dr #504, Miami, FL 33156",25.6871854,-80.3198424,33156,5,44,Bookkeeping service,None,apify
"Parlade Schaefer Schortz, CPAs PA",(305) 670-0400,http://www.psscpas.com/,"5975 Sunset Dr #802, South Miami, FL 33143",25.7045776,-80.2906724,33143,4,12,Certified public accountant,None,apify
Accountze LLC,(786) 519-3123,,"8603 S Dixie Hwy Ste 406 A, Miami, FL 33156",25.6902702,-80.306004,33156,5,30,Accountant,None,apify
Executive Tax & Accounting Services Inc.,(305) 800-1040,https://www.exectaxservices.com/,"8585 Sunset Dr Ste 105, Miami, FL 33143",25.702835,-80.3328866,33143,4.4,13,Tax preparation service,None,apify
Digital Tax Group,(305) 441-2105,https://www.digitaltaxgroup.com/,"6701 Sunset Dr Ste 100, South Miami, FL 33143",25.7040932,-80.301932,33143,5,34,Tax consultant,None,apify
"Accounting & Tax Services of South Florida, Corp.",(305) 669-5115,http://www.accountingtaxfl.com/,"6080 Bird Rd, Miami, FL 33155",25.7335472,-80.2928641,33155,3.9,7,Tax preparation service,None,apify
Michael A. Blanco CPA,(305) 615-2725,https://blancollp.com/,"7301 SW 57th Ct Ste 525, South Miami, FL 33143",25.7034236,-80.2861947,33143,4,2,Certified public accountant,None,apify
"Karen E. Lee, CPA",(305) 815-1462,https://cpakaren.com/,"6501 Leonardo St, Coral Gables, FL 33146",25.7090296,-80.2720988,33146,4.8,10,Tax preparation,None,apify
"Gonzalez & Company, C.P.A., P.A.",(305) 900-3333,https://www.yourcpaaccountant.com/,"2655 S Le Jeune Rd Suite 576, Coral Gables, FL 33134",25.7475539,-80.2619213,33134,5,9,Certified public accountant,None,apify
South Miami Animal Clinic,(305) 667-7238,https://petpaws.net/,"6100 S Dixie Hwy, South Miami, FL 33143",25.7020165,-80.291876,33143,4.8,236,Veterinarian,None,apify
Miami Veterinary Specialists,(305) 665-2820,http://mvshospital.com/,"8601 Sunset Dr, Miami, FL 33143",25.7026274,-80.3333915,33143,3.5,983,Veterinarian,None,apify
South Miami Vets and Pets,(305) 255-7838,https://southmiamivetsandpets.com/,"12035 S Dixie Hwy #200, Pinecrest, FL 33156",25.6585114,-80.3269289,33156,4.9,142,Veterinarian,None,apify
Miami Veterinary Specialists: Emergency Room,(305) 665-2820,http://mvshospital.com/,"8601 Sunset Dr, Miami, FL 33143",25.7025384,-80.3333713,33143,4.3,405,Emergency room,None,apify
Dadeland Animal Hospital,(305) 671-3647,https://www.dadelandanimalhospital.com/,"9495 Old Dixie Hwy, Miami, FL 33156",25.6823525,-80.3159687,33156,4.8,421,Veterinarian,None,apify
VCA South Dade Animal Hospital,(305) 661-2573,https://vcahospitals.com/south-dade?utm_source=maps&utm_medium=organic&utm_campaign=AU_1058,"7230 N Kendall Dr, Kendall, FL 33156",25.6876121,-80.3116247,33156,4.5,327,Veterinarian,None,apify
Animal Clinic of Miami Dade,(305) 262-8888,https://animalclinicofmiadade.com/,"2134 Ludlam Rd, Miami, FL 33155",25.750568,-80.3038125,33155,4.5,432,Veterinarian,None,apify
Southwest Animal Hospital,(305) 661-7765,https://southwestanimalmiami.vetsfirstchoice.com/,"6448 Bird Rd, Miami, FL 33155",25.7332963,-80.3002506,33155,4.8,159,Veterinarian,None,apify
Animal Health & Rehab Center,(305) 665-3526,http://www.animalhealthrehab.com/,"7535 SW 62nd Ave, South Miami, FL 33143",25.7007948,-80.2930386,33143,4.9,97,Animal hospital,None,apify
Miami Veterinary Dermatology,(305) 740-3376,https://miamivetderm.com/,"6448 S Dixie Hwy Unit E, South Miami, FL 33143",25.6969906,-80.297375,33143,4.6,131,Veterinarian,None,apify
South Kendall Animal Hospital,(305) 238-2030,http://www.southkendall.com/,"14201 S Dixie Hwy, Palmetto Bay, FL 33176",25.6381476,-80.3362384,33176,4.7,405,Veterinarian,None,apify
Thrive Pet Healthcare Specialists Miami,(305) 666-4142,https://www.thrivepetcare.com/locations/florida/miami/miami-specialty-emergency/?utm_source=gmb&utm_medium=web,"6394 S Dixie Hwy, Miami, FL 33143",25.6978667,-80.29705,33143,3.9,588,Emergency veterinarian service,None,apify
Miami Animal Clinic,(786) 542-6070,https://www.miamianimalclinic.net/,"7345 SW 8th St, Miami, FL 33144",25.7631378,-80.3148799,33144,4.8,1139,Veterinarian,None,apify
Royal Vet - Animal Hospital in Pinecrest,(305) 590-5008,https://royalvet.com/locations/miami/pinecrest/,"12303 S Dixie Hwy, Pinecrest, FL 33156",25.6560314,-80.3279056,33156,5,429,Veterinarian,None,apify
