business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
Aloft by Marriott Coral Gables,+1 305-442-0372,,,25.747643,-80.26310219999999,33134,3.9,823.0,Hotel,3 stars,outscraper
Courtyard by Marriott Miami Coral Gables,+1 305-443-2301,,,25.7538239,-80.2624606,33134,4.0,1345.0,Hotel,4 stars,outscraper
Hyatt Regency Coral Gables,+1 305-441-1234,,,25.7518784,-80.2558201,33134,4.5,1898.0,Hotel,4 stars,outscraper
Loews Coral Gables Hotel,+1 786-772-7600,,,25.7447406,-80.2574254,33134,4.6,736.0,Hotel,4 stars,outscraper
"THesis Hotel Miami Coral Gables, Curio Collection by Hilton",+1 305-667-5611,,,25.7127169,-80.278579,33146,4.2,816.0,Hotel,4 stars,outscraper
Four Points by Sheraton Coral Gables,+1 305-567-0534,,,25.7352462,-80.2576016,33146,4.2,843.0,Hotel,3 stars,outscraper
Biltmore Hotel Miami Coral Gables,+1 855-969-3080,,,25.7407941,-80.27867959999999,33134,4.5,2672.0,Hotel,4 stars,outscraper
"Hotel Colonnade Coral Gables, Autograph Collection",+1 305-441-2600,,,25.750383799999998,-80.2582532,33134,4.5,1533.0,Hotel,4 stars,outscraper
Extended Stay America Premier Suites- Miami - Coral Gables,+1 305-443-7444,,,25.7496551,-80.2532464,33145,3.9,781.0,Extended stay hotel,2 stars,outscraper
Mayfair House Hotel & Garden,+1 305-441-0000,,,25.7289547,-80.2413687,33133,4.6,1903.0,Hotel,5 stars,outscraper
"Arya Hotel and Suites Coconut Grove, WorldHotels Distinctive",+1 305-529-2828,,,25.727158799999998,-80.24088689999999,33133,4.1,1669.0,Hotel,4 stars,outscraper
Hotel St. Michel,+1 800-848-4683,,,25.752909,-80.258479,33134,4.5,420.0,Hotel,3 stars,outscraper
Best Western Plus Miami Intl Airport Hotel & Suites Coral Gables,+1 305-774-6100,,,25.771276999999998,-80.262816,33134,4.0,2890.0,Hotel,4 stars,outscraper
ChateauBleau Hotel,+1 305-448-2634,,,25.760781599999998,-80.2586978,33134,2.9,1037.0,Hotel,3 stars,outscraper
Hampton Inn Miami-Coconut Grove/Coral Gables,+1 305-448-2800,,,25.738502,-80.2393448,33133,4.3,1289.0,Hotel,3 stars,outscraper
Ponce de Leon Hotel,+1 305-444-9934,,,25.756194999999998,-80.25856399999999,33134,4.0,485.0,Hotel,2 stars,outscraper
Hilton Miami Airport Blue Lagoon,+1 305-262-1000,,,25.7819729,-80.2786043,33126,3.9,7140.0,Hotel,4 stars,outscraper
The Avenue Hotel Coral Gables,+1 786-545-2204,,,25.732384999999997,-80.26136699999999,33146,4.2,5.0,Hotel,None,outscraper
The Mutiny Hotel by Provident Hotels & Resorts,+1 866-610-1814,,,25.727172,-80.239808,33133,4.2,874.0,Hotel,4 stars,outscraper
Private Oasis at Arya,+1 305-798-8811,,,25.727273699999998,-80.2405395,33133,4.5,88.0,Hotel,None,outscraper
Courtyard by Marriott Miami Coconut Grove,+1 305-858-2500,,,25.7313686,-80.2359074,33133,3.9,865.0,Hotel,3 stars,outscraper
Gables Cove Hotel,+1 305-445-5453,,,25.7640401,-80.27161319999999,33134,3.7,62.0,Hotel,2 stars,outscraper
Hampton Inn & Suites by Hilton Miami Airport South Blue Lagoon,+1 305-262-5400,,,25.779042,-80.2880457,33126,4.4,1967.0,Hotel,3 stars,outscraper
Regency Miami Airport by Sonesta,+1 305-441-1600,,,25.781769999999998,-80.2649323,33126,3.6,3489.0,Hotel,3 stars,outscraper
Coral Reef Suites,+1 786-401-7854,,,25.691327899999997,-80.1599622,33149,3.2,306.0,Hotel,3 stars,outscraper
Miami Marriott Dadeland,+1 305-670-1035,,,25.685866299999997,-80.313626,33156,4.2,1722.0,Hotel,4 stars,outscraper
Sunset Inn South Miami,+1 786-545-2204,,,25.7041838,-80.28850659999999,33143,3.2,40.0,Inn,3 stars,outscraper
"The Ritz-Carlton Coconut Grove, Miami",+1 305-644-4680,,,25.7304471,-80.2380563,33133,4.5,1283.0,Hotel,5 stars,outscraper
Fairfield by Marriott Inn & Suites Miami Airport South,+1 786-456-2100,,,25.782716999999998,-80.263224,33126,4.0,1621.0,Hotel,3 stars,outscraper
Courtyard by Marriott Miami Airport,+1 305-642-8200,,,25.7847197,-80.2623035,33126,4.1,2068.0,Hotel,3 stars,outscraper
Holiday Inn Express & Suites Miami Airport East by IHG,+1 786-878-5555,,,25.7997895,-80.26368959999999,33142,4.2,2244.0,Hotel,3 stars,outscraper
Roami at Grove27,+1 833-305-3535,,,25.7557126,-80.2386954,33145,4.6,118.0,Hotel,4 stars,outscraper
Embassy Suites by Hilton Miami International Airport,+1 305-634-5000,,,25.8066574,-80.2615857,33142,3.6,6015.0,Hotel,4 stars,outscraper
Mr. C Miami Coconut Grove,+1 305-800-6672,,,25.7275563,-80.2419389,33133,4.6,583.0,Hotel,None,outscraper
Kompose Boutique Hotel Miami Airport,+1 786-796-0199,,,25.7992411,-80.2514537,33142,4.8,6513.0,Hotel,3 stars,outscraper
Hilton Garden Inn Miami Brickell South,+1 305-854-2070,,,25.7509858,-80.2034722,33129,3.9,1563.0,Hotel,3 stars,outscraper
La Quinta Inn & Suites by Wyndham Miami Airport East,+1 305-871-1777,,,25.8060372,-80.2622841,33142,3.3,3349.0,Hotel,2 stars,outscraper
