business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
17 Real Estate Brokers,(786) 693-3910,,"1701 Ponce de Leon Blvd #206, Coral Gables, FL 33134",,,,4.3,11,['Real estate agency'],,serpapi
107 Taste Asian Restaurant Coral Gables,(786) 409-6951,http://107taste.com/,"357 Alcazar Ave, Coral Gables, FL 33134",,,,4.9,2473,"['Asian restaurant', 'Dan Dan noodle restaurant', 'Ramen restaurant']",,serpapi
& son,(303) 506-1371,http://www.sunandsons.co/,"4255 SW 15th St, Miami, FL 33134",,,,,,Advertising agency,,serpapi
19th Hole Sports Bar & Grill,,,"13610 Deering Bay Dr, Coral Gables, FL 33158",,,,5,2,['American restaurant'],,serpapi
107 Taste Asian Restaurant South Miami,(786) 641-5122,https://107taste.com/,"5966 S Dixie Hwy #103a, South Miami, FL 33143",,,,4.9,1502,Asian restaurant,,serpapi
1111 Media Group | Websites - Content - Social - SEO - Paid,(305) 351-3103,https://1111mediagroup.com/miami,"1250 SW 27th Ave, Miami, FL 33135",,,,4.9,114,"['Marketing agency', 'Advertising agency', 'Internet marketing service']",,serpapi
450Gradi Miami Italian Restaurant,(786) 391-1276,https://450gradimiami.com/,"130 Miracle Mile, Coral Gables, FL 33134",,,,4.8,2076,['Modern European restaurant'],,serpapi
450Gradi Miami 🇺🇸,(786) 391-1276,https://450gradimiami.com/,"130 Miracle Mile, Coral Gables, FL 33134",,,,4.8,2076,['Modern European restaurant'],,serpapi
54D Coral Gables,(786) 817-7008,https://cg.54d.com/,"4210 Ponce de Leon Blvd, Coral Gables, FL 33146",,,,4.6,74,Physical fitness program,,serpapi
924 bird rd coral gable,,,"Coral Gables, FL 33146",,,,,,,,serpapi
A Auto Tech Inc,(305) 448-4100,http://www.aautotech.com/,"3051 SW 38th Ct, Miami, FL 33146",,,,4.8,299,"['Auto body shop', 'Auto dent removal service', 'Auto glass shop', 'Auto parts store', 'Auto restoration service', 'Car repair and maintenance service', 'Oil change service', 'Towing service']",,serpapi
"300 Engineering Group, P.A.",(305) 763-9829,http://300engineering.com/,"2222 Ponce de Leon Blvd Suite 300, Coral Gables, FL 33134, Coral Gables, FL 33146",,,,5,6,['Engineering consultant'],,serpapi
A&G CPA Firm,(786) 838-7062,http://www.agcpafirm.com/,"1200 Anastasia Ave #412, Coral Gables, FL 33134",,,,4.9,38,['Certified public accountant'],,serpapi
"A&G - CPA Firm Coral Gables, FL",(786) 838-7062,http://www.agcpafirm.com/,"1200 Anastasia Ave #412, Coral Gables, FL 33134",,,,4.9,38,['Certified public accountant'],,serpapi
54D STEEL Coral Gables,(786) 817-7008,https://54d.com/,"4212 Ponce de Leon Blvd, Coral Gables, FL 33146",,,,5,28,Gym,,serpapi
A1 Underground & Plumbing Services,(954) 872-0018,https://undergroundplumbers.com/,,,,,4.8,38,"['Plumber', 'Service establishment']",,serpapi
3FM CONSULTING,(305) 767-1120,http://www.3fmengineering.com/,"1600 Ponce de Leon Blvd Ste 1107, Coral Gables, FL 33134",,,,4,28,['Engineer'],,serpapi
Abadin Dental - Invisalign Veneers Implants,(305) 783-3750,https://www.abadindental.com/,"504 Biltmore Way, Coral Gables, FL 33134",,,,5,1428,"['Dentist', 'Cosmetic dentist', 'Dental clinic', 'Dental implants periodontist', 'Dental implants provider', 'Denture care center', 'Emergency dental service', 'Endodontist', 'Oral surgeon', 'Orthodontist']",,serpapi
"Abascal Group, Inc. Residential + Commercial Construction",(305) 498-5035,https://abascalgroup.com/,"1255 Algardi Ave #1107, Coral Gables, FL 33146",,,,5,10,"['Construction company', 'Custom home builder', 'General contractor', 'Home builder']",,serpapi
305 Pink Pack,(305) 859-1224,https://www.305pinkpack.org/,,,,,5,1,"['Non-profit organization', 'Service establishment']",,serpapi
AAP Miami,(305) 902-1651,http://www.aapmiami.com/,"401 Miracle Mile Ste 100, Coral Gables, FL 33134",,,,5,4,"['Home automation company', 'Audio visual consultant', 'Electronics store', 'Lighting contractor']",,serpapi
Abadin Dental,(305) 783-3750,https://www.abadindental.com/,"504 Biltmore Way, Coral Gables, FL 33134",,,,5,1428,"['Dentist', 'Cosmetic dentist', 'Dental clinic', 'Dental implants periodontist', 'Dental implants provider', 'Denture care center', 'Emergency dental service', 'Endodontist', 'Oral surgeon', 'Orthodontist']",,serpapi
Accountor CPA Accounting Bookkeeping and Tax Experts,(888) 437-9540,https://accountor.cpa/near-me/florida-fl/accounting-and-bookkeeping-in-coral-gables/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business_usa_coral_gables,"3081 Salzedo St Ste 202-J3, Coral Gables, FL 33134",,,,5,46,['Bookkeeping service'],,serpapi
Actually Organized,(917) 863-7530,http://www.actuallyorganized.net/,,,,,5,19,Professional organizer,,serpapi
AbitOs Accountants + Advisors,(305) 774-2945,https://www.abitos.com/,"255 Aragon Ave 2nd Floor, Coral Gables, FL 33134",,,,4,12,"['Certified public accountant', 'Accountant', 'Accounting firm', 'Tax consultant', 'Tax preparation', 'Tax preparation service']",,serpapi
Aflac,(954) 778-8464,https://www.aflac.com/agents/marco_erazo.aspx,"8400 NW 36th St Ste 450, Miami, FL 33166",,,,5,3,Insurance agency,,serpapi
Afrasense Massage Therapy,(754) 265-9198,https://www.afrasense.com/,"3081 Salzedo St Ste 202, Coral Gables, FL 33134",,,,4.9,222,['Massage spa'],,serpapi
Admer Construction Group,(305) 697-5970,https://www.admerconstruction.com/?utm_campaign=gmb,"5775 Waterford District Dr #100, Miami, FL 33126",,,,4.8,18,"['Construction company', 'Contractor']",,serpapi
AIRLAB Fitness Coral Gables,(305) 396-8548,https://airlabfitness.com/coral-gables/,"35 Alhambra Plz, Coral Gables, FL 33134",,,,5,36,"['Fitness center', 'Gym', 'Personal trainer', 'Physical fitness program']",,serpapi
Advanced Physical Therapy Specialists,(305) 433-1172,http://www.advancedpts.com/,"7520 SW 57th Ave # E-1, South Miami, FL 33143",,,,5,53,Physical therapy clinic,,serpapi
Al-Amir,(786) 603-9400,,"6420 Bird Rd, Miami, FL 33155",,,,4.6,587,['Lebanese restaurant'],,serpapi
Albite Law Group PA,(305) 985-3740,,"6547 Coral Wy, Miami, FL 33155",,,,4.9,108,"['Attorney', 'Immigration attorney', 'Insurance attorney']",,serpapi
Alegro Music Center,(305) 740-9400,,"6869 SW 8th St, Miami, FL 33144",,,,4.6,126,Musical instrument store,,serpapi
AG REALTY BROKERS,(954) 995-0344,http://www.agrealtybrokersfl.com/,"2222 Ponce de Leon Blvd Ste PH127, Coral Gables, FL 33134",,,,5,29,['Real estate agency'],,serpapi
Alex Express Auto Repair,(786) 443-5409,http://www.alexexpressautorepair.com/,"2520 SW 16th St, Miami, FL 33145",,,,4.9,37,['Auto repair shop'],,serpapi
Alexander S. Tecle - Financial Advisor,(754) 335-7500,http://ztpwm.com/,"121 Alhambra Plz 10th floor, Coral Gables, FL 33134",,,,5,29,"['Financial planner', 'Financial consultant', 'Financial institution', 'Insurance broker', 'Insurance company', 'Investment company', 'Investment service', 'Stock broker', 'Stock exchange building']",,serpapi
"Alice Bravo & Assoc., LLC",(305) 209-9019,http://www.pabravo.com/,"2525 Ponce de Leon Blvd Ste 300, Coral Gables, FL 33134",,,,,,Legal services,,serpapi
Alchemy Hair Lab,(305) 900-4436,http://www.alchemyhairlabmiami.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing&utm_content=website_button,"306 Alcazar Ave #101, Coral Gables, FL 33134",,,,4.9,416,['Barber shop'],,serpapi
Alma Advertising Agency,(305) 428-0094,http://almaad.com/,"2601 S Bayshore Dr 4th floor, Coconut Grove, FL 33133",,,,5,10,['Advertising agency'],,serpapi
