business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
Whole Foods Market,+1 305-421-9421,https://www.wholefoodsmarket.com/stores/coralgables,"6701 Red Road, Coral Gables, FL 33143",25.7064826,-80.2851631,33143,,,shop:supermarket,,osm
Publix,+1 305-445-3221,https://www.publix.com/locations/51,"1500 South Douglas Road, Coral Gables, FL 33134-4108",25.7576808,-80.2555625,33134-4108,,,shop:supermarket,,osm
Milam's Market,,,"5767 Bird Road, Miami, FL 33155",25.7348316,-80.2884203,33155,,,shop:supermarket,,osm
Calle Ocho,,,,25.7653869,-80.2358315,,,,shop:convenience,,osm
Winn-Dixie,+1 305-666-5241,,"5850 Southwest 73rd Street, 33143",25.702758,-80.2888212,33143,,,shop:supermarket,,osm
Sedano's,+1-305-446-5872,https://sedanos.com/stores/,"4803 Southwest 8th Street, Miami, FL 33134",25.7645341,-80.274173,33134,,,shop:supermarket,,osm
Winn-Dixie,+1 305-661-1863,https://www.winndixie.com/storedetails/miami/fl?search=249,"6770 Southwest 40th Street, Miami, FL 33155",25.7315213,-80.3042688,33155,,,shop:supermarket,,osm
Walmart Neighborhood Market,+1 786-257-4094,https://www.walmart.com/store/4140-miami-fl,"6991 Southwest 8th Street, Miami, FL 33144",25.7646677,-80.3090141,33144,,,shop:supermarket,,osm
Sabor Tropical Supermarket,,,"6190 Southwest 8th Street, West Miami, FL 33144",25.7629793,-80.2955211,33144,,,shop:supermarket,,osm
Fresco,,,"948 Southwest 67th Avenue, Miami, FL 33144",25.7619481,-80.3052876,33144,,,shop:supermarket,,osm
Chevron,,https://www.chevronwithtechron.com/station/801-SW-42nd-Ave-Miami-FL-33134-id202650,"4190 Southwest 8th Street, Miami, FL 33134",25.7639911,-80.2627753,33134,,,shop:convenience,,osm
Milam's Market,+1-305-446-4909,https://www.milamsmarkets.com/locations/,"2969 Southwest 32nd Avenue, Miami, FL 33133",25.7369835,-80.2445844,33133,,,shop:supermarket,,osm
Wild Fork Foods,,,"1180 South Dixie Highway, Coral Gables, FL 33146",25.7151958,-80.2755589,33146,,,shop:supermarket,,osm
Crown,,,"5749 Southwest 40th Street, Miami, FL 33155",25.7348864,-80.2876683,33155,,,shop:wine,,osm
Origini Italian Market,,,"6709 Southwest 40th Street, Miami, FL 33155",25.7336458,-80.3033534,33155,,,shop:supermarket,,osm
Bid Daddy's Wine & Liquors,,,,25.7357238,-80.2379249,,,,shop:alcohol,,osm
Asia Grocery,+1-786-268-7700,,"6785 Southwest 56th Street, 33155",25.7186376,-80.303772,33155,,,shop:convenience,,osm
Westar Mart,,,,25.7634906,-80.3002149,,,,shop:convenience,,osm
Orion Mart,,,,25.7626159,-80.3077582,,,,shop:convenience,,osm
Trader Joe's,+1 305-442-5402,https://locations.traderjoes.com/fl/coral-gables/781/,"211 South Dixie Highway, Coral Gables, FL 33133",25.7293706,-80.2582478,33133,,,shop:supermarket,,osm
Aldi,+1 855-955-2534,https://stores.aldi.us/fl/miami/3750-s-dixie-hwy,"3750 South Dixie Highway, Miami, FL 33133",25.7317566,-80.254089,33133,,,shop:supermarket,,osm
Sprouts Farmers Market,+1 561-765-2216,https://www.sprouts.com/store/fl/coconut-grove/miami-27th-ave/,"2750 Southwest 27th Terrace, Miami, FL 33133",25.7400395,-80.2399912,33133,,,shop:supermarket,,osm
Market NXT,,,"1306 Stanford Drive, Coral Gables, FL 33146",25.7197254,-80.2776007,33146,,,shop:convenience,,osm
