business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
Aloft Coral Gables,+1 305-442-0372,,,25.747643,-80.26310219999999,33134,4.0,,Hotel,3 stars,outscraper
Hyatt Regency Coral Gables,+1 305-441-1234,,,25.7518784,-80.2558201,33134,4.5,,Hotel,4 stars,outscraper
Loews Coral Gables Hotel,+1 786-772-7600,,,25.7447406,-80.2574254,33134,4.6,,Hotel,4 stars,outscraper
Courtyard by Marriott Miami Coral Gables,+1 305-443-2301,,,25.7538239,-80.2624606,33134,4.1,,Hotel,4 stars,outscraper
Rodeway Inn South Miami - Coral Gables,+1 786-408-9221,,,25.7054159,-80.29105229999999,33143,2.7,,Hotel,3 stars,outscraper
"Hotel Colonnade Coral Gables, Autograph Collection",+1 305-441-2600,,,25.750383799999998,-80.2582532,33134,4.5,,Hotel,4 stars,outscraper
Thesis Hotel Miami Coral Gables,+1 305-667-5611,,,25.7127169,-80.278579,33146,4.2,,Hotel,4 stars,outscraper
Four Points by Sheraton Coral Gables,+1 305-567-0534,,,25.7352462,-80.2576016,33146,4.2,,Hotel,3 stars,outscraper
Biltmore Hotel Miami Coral Gables,+1 855-969-3080,,,25.7407941,-80.27867959999999,33134,4.4,,Hotel,4 stars,outscraper
Hotel St. Michel,+1 800-848-4683,,,25.752909,-80.258479,33134,4.4,,Hotel,3 stars,outscraper
"Arya Hotel and Suites Coconut Grove, WorldHotels Distinctive",+1 305-529-2828,,,25.727158799999998,-80.24088689999999,33133,4.1,,Hotel,4 stars,outscraper
Ponce de Leon Hotel,+1 305-444-9934,,,25.756194999999998,-80.25856399999999,33134,4.0,,Hotel,2 stars,outscraper
ChateauBleau Hotel,+1 305-448-2634,,,25.760781599999998,-80.2586978,33134,2.9,,Hotel,3 stars,outscraper
Gables Inn,+1 305-661-7999,,,25.7217254,-80.26757649999999,33146,3.5,,Hotel,2 stars,outscraper
Extended Stay America Premier Suites- Miami - Coral Gables,+1 305-443-7444,,,25.7496551,-80.2532464,33145,3.9,,Extended stay hotel,2 stars,outscraper
Mayfair House Hotel & Garden,+1 305-441-0000,,,25.7289547,-80.2413687,33133,4.6,,Hotel,5 stars,outscraper
Hampton Inn Miami-Coconut Grove/Coral Gables,+1 305-448-2800,,,25.738502,-80.2393448,33133,4.3,,Hotel,3 stars,outscraper
Best Western Plus Miami Intl Airport Hotel & Suites Coral Gables,+1 305-774-6100,,,25.771276999999998,-80.262816,33134,4.0,,Hotel,4 stars,outscraper
Gables Cove Hotel,+1 213-594-7549,,,25.7640344,-80.2716173,33134,3.8,,Hotel,2 stars,outscraper
Private Oasis at Arya,+1 305-798-8811,,,25.727273699999998,-80.2405395,33133,4.5,,Hotel,None,outscraper
The Mutiny Hotel by Provident Hotels & Resorts,+1 866-610-1814,,,25.727172,-80.239808,33133,4.3,,Hotel,4 stars,outscraper
Hilton Miami Airport Blue Lagoon,+1 305-262-1000,,,25.7819729,-80.2786043,33126,3.9,,Hotel,4 stars,outscraper
Regency Miami Airport by Sonesta,+1 305-441-1600,,,25.781769999999998,-80.2649323,33126,3.6,,Hotel,3 stars,outscraper
Courtyard by Marriott Miami Coconut Grove,+1 305-858-2500,,,25.7313686,-80.2359074,33133,3.9,,Hotel,3 stars,outscraper
Miami Marriott Dadeland,+1 305-670-1035,,,25.685866299999997,-80.313626,33156,4.2,,Hotel,4 stars,outscraper
Equinox Bryant Park,+1 212-299-0562,,,40.754686,-73.985472,10036,3.9,,Gym,None,outscraper
SWEAT440 Fitness Gables,+1 888-507-9328,,,25.7336441,-80.2617956,33146,4.9,,Gym,None,outscraper
Equinox High Line,+1 212-367-0863,,,40.7438299,-74.00672469999999,10011,3.8,,Gym,None,outscraper
Equinox Greenwich Avenue,+1 212-620-0103,,,40.7375937,-74.0019133,10014,3.4,,Gym,None,outscraper
RZone Fitness Coral Gables,+1 305-461-1090,,,25.7478217,-80.2569252,33134,4.9,,Gym,None,outscraper
Equinox Gramercy,+1 212-320-9870,,,40.7405489,-73.9855549,10010,3.9,,Gym,None,outscraper
Equinox Rockefeller Center,+1 212-218-8600,,,40.7591792,-73.9780648,10111,4.3,,Gym,None,outscraper
Equinox Wall Street,+1 212-964-6688,,,40.707538299999996,-74.0109028,10005,3.6,,Gym,None,outscraper
Equinox Tribeca,+1 212-566-6555,,,40.7141211,-74.00985159999999,10007,3.4,,Gym,None,outscraper
Rumble Boxing,+1 347-571-5039,,,40.7284942,-73.99395849999999,10003,3.9,,Boxing gym,None,outscraper
Orangetheory Fitness,+1 305-460-6006,,,25.7508029,-80.2609818,33134,4.8,,Gym,None,outscraper
Method X Fitness Coral Gables,+1 305-299-9666,,,25.748645999999997,-80.26440869999999,33134,4.8,,Gym,None,outscraper
Fyt Personal Training,None,,,40.718740499999996,-73.9897616,10002,4.4,,Personal trainer,None,outscraper
Life Time,+1 786-437-4400,,,25.728302199999998,-80.260038,33133,3.8,,Gym,None,outscraper
