business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
'Canes Central,(305) 284-4247,https://canescentral.miami.edu/,"1307 Stanford Dr, Coral Gables, FL 33146",,,,2.8,,['University'],,serpapi
100 Montaditos Coral Gables,,https://us.100montaditos.com/,"327 Alhambra Cir, Coral Gables, FL 33134",,,,4.2,,"['Spanish restaurant', 'Beer hall', 'Breakfast restaurant', 'Caterer', 'Event venue', 'Lunch restaurant', 'Restaurant', 'Sandwich shop', 'Tapas restaurant', 'Wine bar']",,serpapi
1939 historic building Loews Coral Gables Hotel,(786) 772-7600,https://www.loewshotels.com/coral-gables,"2950 Coconut Grove Dr, Coral Gables, FL 33134",,,,4.6,,"['Hotel', 'Conference center', 'Wedding venue']",,serpapi
19th Hole Sports Bar & Grill,,,"13610 Deering Bay Dr, Coral Gables, FL 33158",,,,5,,American restaurant,,serpapi
24/7 Nursing Care Inc.,(786) 518-3622,https://www.24-7nursingcare.com/,"9425 Sunset Dr #170, Miami, FL 33173",,,,4.4,,Home health care service,,serpapi
3 Chefs and a Chicken,(786) 953-4811,https://3chefsandachicken.com/3chefsandachicken-xso1yr?utm_source=google,"6601 SW 57th Ave, Miami, FL 33146",,,,4.3,,"['Chicken restaurant', 'Caribbean restaurant', 'Family restaurant', 'Fast food restaurant', 'Health food restaurant', 'Latin American restaurant']",,serpapi
30+ years experience BrightView Landscape,(305) 258-8011,https://www.brightview.com/local/homestead-fl/landscape-services,"4155 E Mowry Dr, Homestead, FL 33033",,,,4.5,,Landscaper,,serpapi
"30,000 sq ft meeting space Comber Hall",(855) 969-3080,https://biltmorehotel.com/coral-gables-event-venues/meeting-rooms/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"1200 Anastasia Ave suite w, Coral Gables, FL 33134",,,,4.5,,Event venue,,serpapi
"305 Drive Inc., Limousine Service",(305) 310-9357,http://www.305-drive.com/,"1100 S Miami Ave, Miami, FL 33130",,,,4.9,,"['Limousine service', 'Chauffeur service']",,serpapi
305 Peruvian Modern Cuisine,+1 786-409-7144,https://305peruvian.com/?utm_source=google,"261 SW 8th St, Miami, FL 33130, United States",,,,4.8,,"['Peruvian restaurant', 'Asian fusion restaurant', 'Caterer', 'Family restaurant', 'Latin American restaurant', 'Restaurant', 'Seafood restaurant', 'Sushi restaurant']",,serpapi
305 Pink Pack,(305) 859-1224,https://www.305pinkpack.org/,,,,,5,,"['Non-profit organization', 'Service establishment']",,serpapi
305 Senior,(786) 441-8800,http://www.palacecoralgables.com/,"1 Andalusia Ave, Coral Gables, FL 33134",,,,4.9,,Assisted living facility,,serpapi
"4000 Ponce, LLC (CMC Group)",(305) 372-0550,http://cmcgroupmiami.com/,"1550 Biscayne Blvd #300, Miami, FL 33132",,,,3,,Real estate developer,,serpapi
450 Gradi,(786) 391-1276,https://450-gradi.com/,"130 Miracle Mile, Coral Gables, FL 33134",,,,4.8,,['Italian restaurant'],,serpapi
4KIDS of South Florida,(954) 979-7911,https://www.4kids.us/,"2717 W Cypress Creek Rd, Fort Lauderdale, FL 33309",,,,4.8,35,Foster care service,,serpapi
"4MG Mortgage, LLC",,http://4mgmortgage.com/,"1501 Venera Ave #230, Miami, FL 33146",,,,5,,['Mortgage broker'],,serpapi
7-Eleven,(305) 446-1533,https://www.7-eleven.com/locations/fl/coral-gables/3960-sw-8th-street-10535?utm_source=G&utm_medium=local&utm_campaign=google-local,"3960 SW 8th St, Coral Gables, FL 33134",,,,3.3,,Convenience store,,serpapi
924 bird rd coral gable,,,"Coral Gables, FL 33146",,,,,,,,serpapi
A&G CPA Firm,(786) 838-7062,http://www.agcpafirm.com/,"1200 Anastasia Ave #412, Coral Gables, FL 33134",,,,4.9,,['Certified public accountant'],,serpapi
A1 Underground & Plumbing Services,(954) 872-0018,https://undergroundplumbers.com/,"4875 SW 57th Terrace, Davie, FL 33314",,,,4.8,,['Plumber'],,serpapi
A4 Graphic Design,(786) 397-8359,http://www.a4graphic.com/,"3362 Coral Wy, Miami, FL 33145",,,,4.9,,"['Commercial printer', 'Graphic designer', 'Sign shop', 'Uniform store', 'Website designer']",,serpapi
AAA Insurance,(305) 270-6450,https://locator.acg.aaa.com/fl/miami/aaa-kendall,"7074 SW 117th Ave, Kendall, FL 33183",,,,4.2,,Travel agency,,serpapi
AAA Million Auto Parts,(305) 642-5821,http://www.aaamillion.com/,"311 SW 22nd Ave, Miami, FL 33135",,,,4.5,,Auto parts store,,serpapi
AC Hotel Miami Dadeland,(305) 668-4490,https://www.marriott.com/en-us/hotels/miacd-ac-hotel-miami-dadeland/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,"7695 N Kendall Dr, Miami, FL 33156",,,,4.4,,"['Hotel', 'Meeting planning service']",,serpapi
accounting,(305) 448-0542,http://bpaaccounting.com/,"2030 Douglas Rd STE 119, Coral Gables, FL 33134",,,,5,,Accountant,,serpapi
Accounting to Scale,(305) 503-2814,http://www.accountingtoscale.com/,"8055 Coral Wy, Miami, FL 33155",,,,5,,"['Accounting firm', 'Bookkeeping service', 'Certified public accountant', 'Tax preparation']",,serpapi
Ace Hardware,(305) 284-1123,http://www.acehardware.com/store-details/15975?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=15975,"5749 Bird Rd, Miami, FL 33155",,,,4.3,,Hardware store,,serpapi
ActionCOACH Team Sage,(305) 396-8779,http://actioncoachteamsage.com/,"2544 Swanson Ave, Coconut Grove, FL 33133",,,,4.7,,['Business management consultant'],,serpapi
Activate Swag,(800) 214-3408,http://activateswag.com/,"4302 SW 73rd Ave Suite 2, Miami, FL 33155",,,,4.6,,['Marketing agency'],,serpapi
Actors' Playhouse at the Miracle Theatre,(305) 444-9293,http://www.actorsplayhouse.org/,"280 Miracle Mile, Coral Gables, FL 33134",,,,4.7,,['Performing arts theater'],,serpapi
Actually Organized,(786) 512-0241,https://www.actuallyorganized.net/,,,,,5,,Custom home builder,,serpapi
ADRIANA HOYOS,(305) 424-1088,http://www.adrianahoyos.com/,"2725 Salzedo St, Coral Gables, FL 33134",,,,3.8,,['Furniture store'],,serpapi
Advance Auto Parts,(305) 448-1466,https://stores.advanceautoparts.com/fl/coral-gables/4380-sw-8th-st?utm_medium=local&utm_source=yext-gmb&utm_content=gmb-2016-12-29&utm_campaign=aap,"4380 SW 8th St, Coral Gables, FL 33134",,,,4.5,,"['Auto parts store', 'Car accessories store', 'Car battery store', 'Tool rental service', 'Truck accessories store']",,serpapi
Advanced Automation Programming,(305) 902-1651,http://www.aapmiami.com/,"401 Miracle Mile suite 100, Coral Gables, FL 33134",,,,5,,Home automation company,,serpapi
advertising,(305) 677-1621,http://kukicadvertising.com/,"95 Merrick Wy Suite 300, Coral Gables, FL 33134",,,,5,,Advertising agency,,serpapi
Agave Holdings,+1 305-723-9898,https://www.maizyagave.com/,"375 Miracle Mile, Miami, FL 33134, United States",,,,4.7,,Mexican restaurant,,serpapi
"Agave Plaza Trustee, LLC",(305) 459-8131,https://theplazacoralgables.com/,"2811 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,3.9,,Leisure center,,serpapi
AI Digital,(305) 260-7577 ext. 1222,https://www.americadigital.com/,"2525 Ponce De Leon Blvd., Suite 250 Coral Gables, Miami, FL 33134",,,,,,Media company,,serpapi
Airlab Fitness,(305) 396-8548,https://www.airlabfitness.com/,"35 Alhambra Plz, Coral Gables, FL 33134",,,,5,,['Fitness center'],,serpapi
Airports,(305) 876-7000,https://www.miami-airport.com/,"2100 NW 42nd Ave, Miami, FL 33142",,,,3.9,,International airport,,serpapi
AJP Ventures Corp.,,,"2990 Ponce de Leon, Coral Gables, FL 33134, United States",,,,5,,['Business management consultant'],,serpapi
Akashi Japanese Restaurant,(305) 665-6261,http://www.akashisushi.com/,"5830 S Dixie Hwy, South Miami, FL 33143",,,,4.3,,"['Japanese restaurant', 'Asian restaurant', 'Family restaurant', 'Fine dining restaurant', 'Sushi restaurant']",,serpapi
Al-Amir,(786) 603-9400,,"6420 Bird Rd, Miami, FL 33155",,,,4.6,,['Lebanese restaurant'],,serpapi
Albany Homes Construction Inc.,(786) 964-7969,http://www.albanyhomes.us/,"500 S Dixie Hwy, Coral Gables, FL 33146",,,,3.9,,"['General contractor', 'Construction company', 'Handyman/Handywoman/Handyperson']",,serpapi
Albite Law Group PA,(305) 985-3740,,"6547 Coral Wy, Miami, FL 33155",,,,4.8,,"['Attorney', 'Immigration attorney', 'Insurance attorney']",,serpapi
Aldi,(855) 955-2534,https://www.aldi.us/stores/l/fl/miami/3750-s-dixie-hwy/fa44,"3750 S Dixie Hwy, Miami, FL 33133",,,,4.3,,Supermarket,,serpapi
Alegro Music Center,(305) 740-9400,,"6869 SW 8th St, Miami, FL 33144",,,,4.6,,Musical instrument store,,serpapi
Algo Law Firm,(305) 723-1876,https://www.algofirm.com/,"815 Ponce de Leon Blvd suite 101, Coral Gables, FL 33134",,,,4.3,,['Law firm'],,serpapi
Alhambra Station Cafe,(305) 441-2676,https://www.toasttab.com/alhambrastationcafe/v3,"255 Alhambra Cir #170, Coral Gables, FL 33134",,,,4.4,,"['Restaurant', 'Cafe', 'Coffee shop']",,serpapi
Alianza Strategies,(305) 381-5116,http://www.alianzalawfirm.com/contact.html,"2100 Coral Wy, Coral Gables, FL 33145",,,,5,,Legal services,,serpapi
